snomed_ref,snomed_descr
4557003,angor inestable
4568003,dolor esternal
4586000,complicacion de dispositivo de fijacion interna
4598005,osteomalacia
4637005,colestasis intrahepatica
4740000,herpes zoster
4754008,ginecomastia
4776004,liquen ruber plano
4800001,piuria
4834000,fiebre tifoidea
4854004,anemia hemolitica adquirida
4855003,retinopatia debida a diabetes mellitus
4896000,hepatitis tóxica aguda
4927003,uveitis anterior aguda
4969004,cefalea sinusal
4985009,trastorno de la uretra
4996001,hipofosfatemia
5028002,pansinusitis aguda
5050001,puntos rubi
5102002,agenesia del cuerpo calloso
5132005,queratosis pilaris
5137004,luxacion recurrente de articulacion
5148006,cardiopatia hipertensiva con insuficiencia cardiaca congestiva
5158005,trastorno de Tourette
5217008,trastorno del espectro de la persona rigida
5248000,edema supraglotico
5262007,atrofia muscular espinal
5286009,ausencia congenita de conducto deferente
5291005,hipocalcemia
5294002,trastorno del desarrollo
5309003,hematoma subcutaneo
5313005,alteracion de cuerno posterior de menisco interno
5332004,crisis oculogira
5370000,aleteo auricular
5441008,tiña capitis
5464005,psicosis reactiva breve
5494004,pulpitis aguda
5505005,bronquiolitis aguda
5507002,trastorno de habitos estereotipados
5510009,trastorno delirante organico
5552004,trastorno de ovario
5587004,distrofia corneal
5591009,hemianopsia homonima derecha
5602001,abuso de opioides
5603006,anemia hemolitica autoinmunitaria causada por inmunoglobulina G
5609005,paro sinusal
5662003,contusion de la mano
5689008,periodontitis cronica
5714002,enfermedad causada por Polyomavirus
5758002,bacteriemia
5793009,trastorno de conducta y emocional mixto
5805002,impactacion de bolo
5876000,pancitopenia adquirida
5888003,queratitis
5913000,fractura de cadera
5919001,ruptura del musculo papilar
5935008,utiliza anticoncepcion oral
5972002,dificultad para iniciar la miccion
6020002,tiña del pie
6042001,aspergilosis pulmonar
6055000,quemadura de la extremidad superior
6072007,hemorragia del ano
6077001,peritonitis fecal
6118003,enfermedad desmielinizante del sistema nervioso central
6141006,edema de retina
6142004,gripe
6185008,enfermedad asociada con Helicobacter
6204001,epilepsia mioclonica juvenil
6215006,colangitis aguda
6273006,priapismo
6284004,absceso de cuello
6285003,taquiarritmia
6374002,bloqueo de rama
6383007,amenaza de parto prematuro
6456007,taquicardia supraventricular
6461009,calculo amigdalino
6471006,pensamientos suicidas
6475002,"demencia degenerativa primaria tipo Alzheimer, de inicio en la edad presenil, no complicada"
6561007,dolor en la uretra
6595006,calcinosis
6628008,fractura expuesta de diáfisis de fémur
6631009,trombocitosis
6654000,hallux rigidus
6655004,laringitis aguda
6678005,"edad gestacional, 15 semanas"
6698000,"fractura trimaleolar, no expuesta"
6738008,infertilidad femenina
6815003,bartolinitis
6836001,lesion traumatica del plexo braquial
6849006,ruptura de tendon de musculo cuadriceps
6858004,capsulitis
6893006,periodo dilatante
6929003,caruncula uretral
6962006,retinopatia hipertensiva
6990005,fractura de diafisis de tibia
7006003,movimientos torpes
7011001,alucinaciones
7058009,incumplimiento del tratamiento
7063008,neumonia gangrenosa
7093002,colico nefritico
7119001,lupus eritematoso cutaneo
7125002,meningoencefalitis
7159003,necrosis pulmonar
7163005,uropatia obstructiva
7180009,meningitis
7183006,anoftalmia
7199000,sindrome de esclerosis tuberosa
7200002,etilismo
7231009,dermatosis bullosa
7305005,coartacion de aorta
7339009,polineuropatia causada por farmaco
7358000,sindrome miccional
7393007,trastorno de senos paranasales
7395000,perforacion del utero
7425008,coproporfiria hereditaria
7456000,envenenamiento debido a picadura de avispa
7501002,nivel de acido lactico aumentado
7513007,morfea generalizada
7520000,pirexia de origen desconocido
7550008,taquipnea transitoria del recien nacido
7573000,fenilcetonuria clasica
7585008,fractura de hueso piramidal del carpo
7632005,urticaria dermatografica
7674000,trocanteritis
7707000,"edad gestacional, 32 semanas"
7724006,sindrome nefritico
7751009,malestar general
7847004,inflamacion de labio de boca
7881005,pancreatitis necrosante aguda
7890003,contractura de articulación
7895008,intoxicacion alcoholica aguda
7916009,polineuropatia alcoholica
7927006,hematoma periorbitario
7973008,vision anormal
8009008,enuresis nocturna
8011004,disartria
8098009,enfermedad infecciosa transmitida por via sexual
8148005,quemosis conjuntival
8217007,aracnoiditis
8220004,polipo endocervical
8228006,separacion familiar
8229003,rinitis vasomotora
8260003,intoxicacion por organofosforados
8330006,celotipia
8414002,absceso nasal
8493009,gastritis cronica
8513005,contusion cervical
8517006,ex-fumador
8531006,cofosis
8549006,neumonitis intersticial descamativa
8619003,infertil
8635005,delirium por abstinencia de alcohol
8644006,plenitud epigastrica
8654005,displasia ectodermica
8704005,fractura de apofisis acromial de omoplato
8722008,valvulopatia aortica
8725005,absceso de prostata
8762007,hipertension cronica en el contexto obstetrico
8765009,hematemesis
8799007,dolor del talon posterior
8801005,diabetes mellitus secundaria
8838005,linfangitis aguda
8847002,espondilosis
8872002,osteomielitis de la region pelvica
8900005,hipoproteinemia
8915006,hipoplasia congenita de glandula mamaria
8971008,psicalgia
9014002,psoriasis
9078005,polipo de cuerda vocal
9092004,hiperplasia paratiroidea
9105005,deficiencia de AMP desaminasa muscular
9124008,apendicitis subaguda
9126005,oligometrorragia
9182005,conducta peleadora
9209005,abdomen agudo
9269007,quemadura epidermica de oido externo
9273005,sindrome de poliposis juvenil
9275003,fractura de sitios multiples del metacarpo
9283009,prolapso uterino de segundo grado
9360008,hiperamonemia
9389005,queratitis por virus del herpes simple
9414007,intolerancia a glucosa
9418005,necrobiosis lipoidea
9626006,dolor mecanico
9631008,espondilitis anquilopoyetica
9651007,sindrome de QT prolongado
9682006,fisura de escapula
9707006,volvulo intestinal
9713002,prostatismo
9748009,discinesia
9789007,esterilidad natural
9826008,conjuntivitis
9829001,úlcera gástrica perforada
9893005,sindrome de Good
9918001,ptosis renal
9953008,hepatitis alcoholica aguda
9957009,secrecion uretral
9982009,intoxicacion causada por cocaina
9991008,colico abdominal
10041001,estenosis traqueal secundaria a traqueostomia
10050004,contusion del ojo
10057001,pitiriasis liquenoide cronica
10085004,metatarsalgia
10087007,infeccion causada por Schistosoma
10114008,esterilidad femenina
10184002,colangitis recidivante
10217006,laceracion perineal de tercer grado
10298002,"victima, motociclista en accidente vehicular Y/O de transito"
10325006,afasia anómica
10347006,urticaria solar
10351008,faringoamigdalitis pultacea
10370003,ritmo de estimulacion cardiaca artificial
10380004,aplastamiento de dedo de mano
10385009,intoxicacion por digoxina
10394003,ataxia de Friedreich
10443009,infeccion localizada
10451007,cayado aórtico doble
10501004,proteinosis alveolar pulmonar
10509002,bronquitis aguda
10528009,lupus vulgar
10573002,amnionitis
10601006,algia de extremidad inferior
10623005,displasia fibrosa de hueso
10629009,tetania
10633002,insuficiencia cardiaca congestiva aguda
10679007,infeccion causada por giardia lamblia
10699001,úlcera esofagogástrica
10725009,hipertension arterial benigna
10729003,sindrome respiratorio del fumador
10743008,sindrome de colon irritable
10825001,perforacion del recto
10890000,trastorno de glandula salival
10893003,tuberculosis ganglionar
10930001,atresia congenita de arteria pulmonar
10981006,trastorno bipolar I mixto grave con sintomas psicoticos
10989008,pie equino
11092001,taquicardia sinusal
11114002,gingivalgia
11157007,bigeminismo
11176009,miopericarditis
11218009,infeccion causada por pseudomonas aeruginosa
11226001,ciclitis heterocromica de Fuchs
11244009,"síndrome poliglandular autoinmunitario, tipo 1"
11251000,cistitis por irradiacion
11254008,fractura no expuesta de cuarto metatarsiano
11265003,hemicorea
11296007,estenosis de la traquea
11314008,polipo de cuerpo uterino
11316005,granuloma de las cuerdas vocales
11366004,nodulos vocales
11381005,acne
11387009,trastorno mental organico inducido por sustancia psicoactiva
11399002,enfermedad hipertensiva de arteria pulmonar
11437003,contusion dorsal
11441004,prostatismo
11483009,defecto ventilatorio
11530004,diabetes mellitus labil
11538006,cuadriplejia
11543004,otoesclerosis
11568002,cadera en resorte
11603001,retinopatía drepanocítica
11612004,corioamnionitis
11654001,tendinitis aquiliana
11666007,hidrocele infectado
11679003,dolor radicular
11687002,diabetes mellitus gestacional
11817007,infeccion actinomicotica
11833005,tos seca
11836002,peritonitis bacteriana primaria
11840006,diarrea del viajero
11849007,ritmo de la union auriculoventricular
11851006,trastorno de la valvula mitral
11888009,sindrome de hiperviscosidad
11934000,ptosis de parpado
11939005,artritis aguda
11980003,quemadura del pie
11999007,tuberculosis inactiva
12026006,taquicardia paroxistica
12063002,proctorragia
12068006,prolapso de la uretra
12184005,defecto del campo visual
12188008,parainfluenza
12204004,"fractura de multiples costillas, no expuesta"
12295008,bronquiectasias
12326000,acidosis respiratoria
12336008,dolor referido en oido
12337004,trastorno del utero
12451000,excavacion de papila optica
12456005,trastorno iatrogenico
12463005,gastroenteritis infecciosa
12570008,queratitis numular
12574004,gastroenteritis no infecciosa
12579009,fiebre mediterranea familiar
12584003,dolor oseo
12676007,fractura de radio
12677003,tuberculosis del encefalo
12729009,ruptura prolongada de membranas
12770006,cardiopatia congenita cianotica
12776000,cuerpo extraño en el colon
12820001,trastorno del sacro
12847006,ulcera duodenal aguda con hemorragia
12867002,sufrimiento fetal que afecta el manejo de la situacion materna
12962009,histoplasmosis
13045009,anisocoria
13094009,apnea del recien nacido
13164000,agudeza visual reducida
13200003,ulcus peptico
13213009,cardiopatia congenita
13262009,sinequia vulvar
13266007,sinusitis esfenoidal
13277001,acne quistica
13290008,aneurisma de arteria iliaca
13301002,celulitis de la rodilla
13370002,fibromatosis de fascia plantar
13404009,transfusion sanguinea de un gemelo al otro
13438001,trastorno de ansiedad excesiva en la niñez
13445001,enfermedad de Meniere
13457005,cuerpo extraño en el ano
13468005,dentina sensible
13595002,torsion de ovario
13600006,foliculitis
13601005,trastorno paranoide de la personalidad
13608004,iridociclitis por virus del herpes simple
13616008,lesion traumatica superficial del ojo y/o de los anexos oculares
13617004,traqueobronquitis
13644009,hipercaliemia
13645005,obstruccion cronica de vias respiratorias
13680009,celulitis del antebrazo
13695006,fractura de radio distal
13706005,concrecion conjuntival
13746004,trastorno bipolar
13753008,espasmo hemifacial
13758004,parafimosis
13763000,"edad gestacional, 34 semanas"
13791008,astenia
13798002,"edad gestacional, 38 semanas"
13802001,absceso de la axila
13920009,encefalopatia hepatica
13937002,hemorragia subretiniana
13954005,ulcera isquemica
13973009,estado de epilepsia con convulsiones tonico-clonicas
14011008,diverticulosis traqueal
14022007,muerte fetal que afecta el manejo de la situacion materna
14094001,hiperemesis gravidica
14140009,hipercaliemia
14151009,hiperestesia
14189004,sarampion
14232007,meningitis por criptococos
14302001,amenorrea
14304000,trastorno de la glandula tiroides
14336007,aneurisma roto de aorta abdominal
14345008,conflicto entre padres e hijos
14357004,neuropatia optica isquemica
14366000,queratoconjuntivitis por exposicion
14415006,neumocefalo
14418008,embarazo precoz
14448006,ingestion de cuerpo extraño
14534009,trombosis de la vena esplenica
14540002,compresion venosa
14560005,micosis dermica
14619009,foria
14664006,quemadura en mano de primer grado
14669001,sindrome de insuficiencia renal aguda
14675005,fractura de siete costillas
14760008,estreñimiento
14783006,hiperbilirrubinemia
14786003,paralisis de la noche del sabado
14812002,celulitis del pene
14817008,efecto tardio de lesion traumatica
14852000,miringitis
14893008,quemadura de mano
14949009,ruptura antigua del ligamento de la rodilla
14950009,fractura de seis costillas
14981000,fistula uretral
15013002,miodesopsias
15033003,absceso peritonsilar
15139001,sindrome de hidrocefalia cerebral cronica
15167005,abuso de alcohol
15188001,perdida de la audicion
15196006,hematoma intraplacentario
15230009,trastorno hepatico en el embarazo
15241006,trastorno del sistema nervioso autonomo
15250008,trastorno de la cornea
15253005,asimetria de la cara
15296000,esterilidad
15346004,hipoalfalipoproteinemia familiar
15504009,ruptura obstétrica del útero
15555002,pericarditis aguda
15574005,fractura de pie
15628003,infeccion causada por Neisseria gonorrhoeae
15662003,demencia senil
15663008,placenta previa oclusiva total
15802004,distonia
15803009,dolor vesical
15805002,sinusitis aguda
15842009,trombosis de vena renal
15902003,ulcera gastrica con hemorragia
15938005,eclampsia
15945005,potomania
15993004,hipoventilacion alveolar
16003001,enfisema bulloso gigante
16046003,rigidez muscular
16063004,enfermedad reumatica de valvula cardiaca
16101002,ulcera de ciego
16110005,oftalmoplejía
16114001,fractura de tobillo
16146001,bronquitis viral
16207008,lactancia posmadura
16269008,neuralgia
16292008,intoxicacion por canabis sativa
16294009,esplenomegalia
16297002,hidronefrosis congenita
16331000,pirosis
16356006,embarazo multiple
16402000,rasgo drepanocitico
16485001,ulcera de amigdala
16506000,trastorno bipolar I mixto
16507009,riñon ectopico
16538005,puerperio inmediato
16553002,coroiditis
16573007,amiloidosis cardiaca senil
16596007,endotropia
16617009,disfonia
16631009,sindrome de mielopatia transversa
16632002,hemoneumotórax
16644004,neuropatia radial
16652001,enfermedad de fabry
16761005,esofagitis
16763008,hemorragia de higado
16797001,conduccion auriculoventricular acelerada
16805009,trastorno de la personalidad del grupo a
16814004,enfermedad infecciosa neumococica
16838000,enfisema del mediastino
16851005,miopatia mitocondrial
16932000,nauseas y vomitos
16973004,cojera
16985007,estado de ayuno
16997008,agitacion neonatal
17024001,ventana aortopulmonar
17025000,sindrome de ehlers-danlos vascular
17059001,bursitis prerrotuliana
17099003,agotamiento de musculo periferico
17133001,absceso de la region submandibular
17155009,tricotilomania
17173007,polidipsia
17182001,agranulocitosis
17204006,neumoperitoneo
17211005,omoplato alado
17222009,fractura no expuesta de extremo distal de radio
17226007,trastorno de adaptacion
17234001,quiste alantoideo
17235000,esferocitosis
17263003,embolia de liquido amniotico
17288006,herida punzante del pie
17322007,enfermedad parasitaria
17329003,colico ureteral
17332000,acne por cosmeticos
17354003,absceso de hombro
17366009,arritmia auricular
17369002,aborto espontaneo
17382005,insuficiencia cervicouterina
17383000,efecto toxico del monoxido de carbono
17433009,embarazo ectopico roto
17450006,mioclono
17465007,neumatosis cistoides intestinal
17467004,hipertrofia de los cornetes nasales
17594002,bradicardia fetal que afecta el manejo de la situacion materna
17602002,amiloidosis
17668000,pleuropericarditis aguda
17709002,varices esofagicas sangrantes
17741008,faringoamigdalitis aguda
17790008,trastorno de la uña
17796002,dermatosis acantolitica transitoria
17849001,condicion respiratoria del feto O recien nacido
17883008,esguince de cadera
17920008,trombosis de la vena porta
17944005,calcificacion cerebral
17961008,"trastorno de conducta, de inicio en la niñez"
18003009,trastorno de la identidad sexual en la vida adulta
18040001,osteoporosis senil
18070006,celulitis preseptal
18081009,campilobacteriosis enterica
18085000,juego compulsivo
18099001,absceso retrofaringeo
18165001,ictericia
18166000,mama supernumeraria
18171007,fractura de falange de dedo de la mano
18193002,hipocondriasis
18260003,psicosis postparto
18265008,exoftalmia
18347007,estenosis del canal lumbar
18391007,aborto electivo
18410006,cicatriz macular
18546004,estenosis congenita de valvula aortica
18604004,enfermedad por deficiencia de factor xiii
18615009,insolación
18618006,aura
18665000,erosion aguda de la mucosa gastrica
18724009,"fractura de segundo metatarsiano, no expuesta"
18735004,onfalocele congenito
18773000,sindrome de vomito ciclico
18818009,depresion mayor recurrente moderada
18834007,artropatia cristalina
18842008,degeneracion corticobasal
18846006,nauseas y vomitos inducidos por quimioterapia
18876004,dolor en dedo de mano
18941000,trastorno negativista desafiante
18963009,labilidad animica
18973006,prolapso uterovaginal
19044004,fiebre espirilar
19092004,sindrome de holt - oram
19132000,estenosis de colon
19133005,sindrome de neurofibromatosis
19169002,aborto espontaneo en el primer trimestre
19213003,diarrea infecciosa inespecifica
19220005,complicacion de un implante
19242006,edema pulmonar
19267009,trastorno por anticoagulante lupico
19307009,trombocitopenia inmunitaria inducida por fármacos
19311003,colitis colagenosa
19341001,paludismo por plasmodium ovale
19346006,sindrome de Marfan
19354008,quiste de tendón
19362000,larva migratoria cutanea
19399000,otitis media aguda exudativa
19429009,ulcera cronica de la piel
19442009,talasemia minor
19457002,celulitis de la axila
19466003,neurotoxicidad
19471005,linfadenitis
19472003,hiperpermeabilidad capilar
19491003,traumatismo nasal
19496008,cuerpo extraño en la laringe
19527009,episodio unico de depresion mayor en remision completa
19532005,atonia muscular
19560007,exostosis de conducto auditivo
19585003,estado posoperatorio
19598007,epilepsia generalizada
19620000,desprendimiento de retina regmatogeno
19636003,monocitosis
19657006,desorientacion temporal
19660004,trastorno de partes blandas
19721008,hipotonia ocular
19765000,complicacion de la dialisis
19824006,infeccion de la piel y/o del tejido celular subcutaneo
19829001,trastorno de pulmon
19843006,cicatriz hipertrofica
19877001,rinofima
19886006,síndrome de Sturge-Weber
19887002,claustrofobia
19888007,acuñamiento vertebral
19905009,prostatitis cronica
19943007,cirrosis hepatica
19968009,colecistitis alitiasica
20010003,trastorno limitrofe de la personalidad
20016009,menarquia
20018005,obstruccion ureteral
20021007,desorientado
20022000,hemiparesia
20165001,hiperfosfatemia
20236002,trabajo de parto en curso
20262006,ataxia
20274005,fractura de una costilla
20301004,disfasia
20313009,hiperosmolalidad
20342001,calculo uretral
20358003,artritis piogena de tobillo
20376005,enfermedad neoplasica benigna
20425006,trastorno laberintico
20427003,sindrome postflebitico
20433007,fractura de extremo superior de tibia
20490007,quemadura en pierna de primer grado
20502007,dolor en escroto
20511007,fractura de mano
20555001,iritis por virus del herpes simple
20602000,animo indiferente
20607006,gingivoestomatitis
20610004,paralisis de cuarto nervio craneal
20639004,esofagitis candidiasica
20673009,trastorno del timo
20681005,perforación de dispositivo cardíaco
20696009,insuficiencia venosa
20719006,colestasis extrahepatica
20721001,trastorno de valvula tricuspide
20793008,omalgia
20824003,colecistitis cronica
20848007,infestacion causada por Pediculus
20917003,glomerulonefritis cronica
20928004,ulcera del ano
20930002,anosognosia
21007002,enfermedad de wernicke
21018002,neuropatia inflamatoria
21086008,síndrome de cockayne
21092002,absceso de dedo de la mano
21095000,hiperprolactinemia secundaria
21117005,hemorragia conjuntival
21120002,osteomielitis de la pierna
21134002,discapacidad
21173002,adenoma benigno de la prostata
21186006,otitis media cronica
21333004,alteracion de menisco externo
21350002,quiste coloide del tercer ventriculo
21351003,fisura de falange de pie
21381006,necrosis grasa de la mama
21426000,trastorno de la membrana timpanica
21454007,hemorragia subaracnoidea intracraneal
21522001,abdominalgia
21584002,sindrome del infante de madre diabetica
21586000,sindrome de munchhausen
21638000,periodontitis aguda
21639008,acido urico elevado
21647008,dependencia de anfetaminas
21711003,hidrosalpinx
21719001,alergia primaveral
21779006,testiculo retractil
21794005,tendinitis de De Quervain
21801002,climaterio sintomatico
21867001,fractura de extremo superior de perone
21877004,sindrome de telangiectasia hemorragica de Osler
21897009,sindrome de ansiedad
21954000,herpes zoster auricular
21983002,tiroiditis de hashimoto
22032002,factor social relacionado con la familia
22033007,retardo del crecimiento fetal
22049009,ectasia de conducto galactoforo
22053006,sindrome de klinefelter
22058002,falta de atencion
22066006,estrabismo
22125009,paniculitis
22173004,crecimiento fetal excesivo que afecta el manejo de la situacion materna
22193007,enfermedad articular degenerativa de mano
22220005,incontinencia de esfuerzo
22234005,fractura expuesta de la diafisis de la tibia
22240003,pericoronaritis
22247000,dehiscencia de herida quirurgica
22253000,dolor
22255007,leucoencefalopatia multifocal progresiva
22268004,dificultades con la ley
22298006,infarto de miocardio
22325002,alteracion de la marcha
22399000,endometritis puerperal
22440001,ulcera de Mooren
22455005,retinitis por citomegalovirus
22490002,sangrado proveniente de la boca
22504001,utero bilocular
22562004,contusion del cuero cabelludo
22607003,asbestosis
22625005,hematomediastino
22631008,inestable durante la marcha
22649008,fotodermatitis
22668006,estenosis subglotica
22716005,trastorno de las plaquetas
22722001,neuropatia periferica idiopatica
22724000,lesion traumatica de la uretra
22753004,trastorno fetal Y/O placentario que afecta el manejo materno
22754005,neumonia estafilococica
22802006,fractura pertrocanterea
22811006,leucoencefalopatia
22817005,distension del tendon de Aquiles
22878006,contusion de la rodilla
22883003,fístula entérica - arterial
22990009,tuberculosis cronica
22996003,infarto esplénico
23006000,hipopigmentacion de la piel
23014006,actinomicosis cervicofacial
23056005,ciatica
23060008,deformidad en cuello de cisne
23115009,aneurisma arterial roto
23123006,trastorno debido a fractura de miembro superior y posterior a ella
23132008,amiloidosis con amiloide de cadena liviana
23150001,sindrome de Proteus
23168003,trastorno del habla
23186000,jaqueca menstrual
23238000,agammaglobulinemia variable comun
23260002,fibroadenosis de mama
23268009,simulación de enfermedad
23276006,hemorragia intraventricular
23344004,hernia lumbar
23374007,crisis de ausencia atipicas
23387001,perforacion del esofago
23388006,escotoma
23412002,hemopericardio
23436003,cuerpo extraño en el punto lagrimal
23464008,"edad gestacional, 20 semanas"
23502006,enfermedad de Lyme
23513009,infeccion por Herpesvirus
23527004,intoxicacion por Cannabis
23560001,trastorno de asperger
23627006,pericarditis cronica
23645006,trastorno organico del estado de animo
23670006,presion intraocular disminuida
23680005,entesopatia
23685000,cardiopatia reumatica
23687008,espasmo de arteria coronaria
23713006,contusion de la corteza cerebral
23714000,vestibulitis nasal
23900009,"fractura de extremo proximal de la tibia, no expuesta"
23913003,hemorroides externas
23919004,laberintitis
23924001,sensacion de opresion toracica
23951003,quiste de la glandula de Moll
23986001,glaucoma
23991000,rechazo crónico activo de injerto
24010005,afaquia
24063002,fractura de base de craneo
24079001,dermatitis atopica
24095001,placenta previa oclusiva parcial
24129002,fascitis eosinofila
24152003,dermatitis nodular
24184005,hallazgo relacionado con la donacion de sangre
24199005,agitacion
24225004,sindrome de holmes - adie
24288004,celulitis de tobillo
24369008,sarcoidosis pulmonar
24370009,escotoma de Seidel
24424003,"fractura de falange de dedo de la mano, no expuesta"
24458006,falla primaria de injerto
24520005,vaginitis aguda
24526004,enfermedad infecciosa transmitida por via sexual
24529006,alteracion del potasio
24548005,quiste de la vagina
24595009,gota primaria
24596005,oclusion de rama venosa retiniana
24612001,sibilancias - roncus
24662006,gripe causada por virus influenza B
24693007,sindrome miofascial
24700007,esclerosis multiple
24777009,trastorno del nervio hipogloso
24782002,hipertrofia de la piel
24789006,gastroenteritis por virus similar al agente norwalk
24800002,"estado de portador, enfermedad asintomatica"
24807004,varices gastricas sangrantes
24816000,esputo herrumbroso
24817009,laberintitis supurativa
24850009,lesión traumática de uréter
24864009,esguince de articulacion interfalangica de dedo de pie
24867002,insuficiencia suprarrenal severa
24976005,prolapso uterino
24982008,sindrome diarreico
25026004,"edad gestacional, 18 semanas"
25044007,neuromielitis optica
25064002,cefalea
25093002,enfermedad ocular debida a diabetes mellitus
25102003,hepatitis viral aguda tipo A
25173007,neoplasia recidivante
25225006,enfermedad causada por adenovirus
25289003,hiperacusia
25374005,gastroenteritis
25415003,"fractura de femur, no expuesta"
25416002,neuralgia de nervio periferico
25423001,suspiro
25458004,gastritis aguda
25463000,obstruccion de ureter secundaria a litiasis
25470000,dacriocistitis aguda
