prov_ref,prov_descr
1001VTINF,primera visita videotrucada infermeria
1001VTTS,prim vis. treball social video
1002,ecocardiograma de estres farmacologico | ecocardiograma de estres farmacologic
10020,biopsia cutanea (procesamiento y diagnostico) | biopsia cutania (processat i diagnostic)
10021,dermatoscopia digital complexa | molemax (dermatoscopia digital)
10025,sesion de educacion diabetologica | sessio d  educacio diabetologica (hosp.gral) | sessio d  educacio diabetologica
1003,cura
10031,monitoritzacio continua de la glicemia
10033,amalgames
10037,intervencio quirurgica ambulatoria maxil.lofacial
10039,mapa simple | registre continuat  t.a.  durant 24 h.
1003CCV,colocacion / cambio de cateter vesical | col.locacio/canvi de cateter vesical
1003P,colocacion pesario | col*locacio pesari
1003RCV,retirada cateter vesical | retirada cateter vesical
1004,eco transesofagico | eco transesof.
10041,biopsia muscular estandar y diagnostico | biopsia (mdi) | biopsia muscular estandar i diagnostic
10042,electrooculograma
10043,electroretinograma (erg)
10043M,electroretinograma  multifocal
10044,test de lancaster | lancaster
10047,retinografia (no mediatric) | retinografia
10049,vitrectomia
1005,hemodialisis unidad general | hemodialisi unitat general
10051,endoscopia amb anestesia local
10052,impedanciometria
10054,audiometria de alta frecuencia | audiometria d  alta frecuencia
1006,intervencion regimen ambulatorio (ira) | intervencio regim ambulatori (ira)
10060,estimulacio neuromuscular
10061,infiltracio toxina | infiltracio (ical)
1007,visita segunda opinion medica: visita so | visita segona opinio medica: visita so
10074,readaptacio funcional per sessio | recuperacio funcional - sessio
10078,magnetoterapia
1008,visita a urgencias | visita a urgencies (alta) | visita a urgencies
10086,visita d avaluacio del dany corporal
1008UAC,visita uac hd icams
1009,visita consulta al viatger | consulta de viatgers
10092,biopsia grasa subcutanea | biopsia greix subcutani
10095,examen liquido articular | examen liquid articular
10098,infiltracion | infiltracio articular | infiltracio
1009AG,test ag covid - consulta viatger
1009CO,visita consulta al viatger test covid
1009D,visita consulta i vacunacio de viatgerspc (pers casa)
1009E,visita + vacuna viatger empresa
1009M,menors de 16 anys acompanyats
1009R,revacunacio de consulta al viatger
1009T,visita viajeros
1009T1,famba 7 dies (1setmana)
1009T2,famba 15 dies (2 setmanes)
1009T3,famba 21 dies (3 setmanes)
1009T4,famba 28 dies (4 setmanes)
1009T5,famba 35 dies (5 setmanes)
1009T7,famba 56 dies (8 setmanes)
1009T8,famba 70 dies (10 setmanes)
1009T9,famba 84 dies (12 setmanes)
1009TA,famba 365
1009U,visita consulta al viatger urgent + farmac (inj/oral)
1009V,vacunacio inj/oral
1009VE,requisit de vacunacio universitat estrangera
101,urgencies d hivern
1010,visita+vacuna hcb + inst. vinc.+coop.
10105,orientacio familiar - sessio
10109,infiltracio parts tobes
1011,visita de triatge d urgencies
10111,visita a l empresa | visita a l empresa pvt
1011U,triaje con ingreso en urgencias | triatge amb ingres a urgencies
1012,visita viatger referit d altres centres
10120,back school
10122,artrocentesi
10123,visita control | preparacio  inseminacio
10124,inseminacion artificial | inseminacio artificial f.1.
10124B,estudio inseminacion artificial | estudi inseminacio artificial f.1.
10125,cistoscopia gin
10126,test postcoital
10127,"puncio i extracio a biopsia vulva, colluter, endometri"
10128,ciclo natural cancelado | criopreservacio mostra seminal (una mostra)
10128B,fiv ciclo natural puncion no ovulo | f.i.v. cicle natural puncio no ovul
10129,asa diatermica
10130,mantenimiento anual criopreservacion  | manteniment anual criopreservacio (> 1 mostra) | manteniment anual criopreservacio anuala partir dels dos anys
10130B,estudi manteniment anual criopreserv. anual i a partir dels dos anys
10131,preparacion receptora y transferencia de embriones | preparacio receptora i transferencia d embrions
10131B,estudio preparacion receptora y transferencia de embriones | estudi preparacio receptora i transferencia d embrions
10132,inyeccion intracitoplasmatica de espermatozoides (icsi) | injeccio intracitoplasmatica espermatozoides (icsi)
10132B,inyeccion intracitoplasmatica espermatica | injeccio intracitoplasmatica espermatozo
10133,criopreservacion de embriones propios | criopreservacio d embrions propis | criopreservacio d embrions propis fins a dos anys
10133B,estudio criopreservacion de embriones | estudi criopreservacio d embrions propis fins a dos anys
10133P,criopreservacion prolongada de embriones | criopreservacio prolongada d embrions
10134,mantenimiento anual criopreservacion deembriones | manteniment anual criopreservacio d embrions | manteniment anual criopreservacio d embrions anual i a partir dels dos anys
10134B,estudio mant. anual criopreservacion deembriones  | estudi mant. anual criopre.d embrions anual i a partir dels dos anys
10134V,mantenimiento anual criopreservacion deovulos | mant.anual criopreservacio d oocits
10134VB,estudio mant.anual criopreserv. de ovocitos | estudi mant.anual criopreserv. d oocits
10135,mantenimiento anual criopreservacion (una muestra) | manteniment anual criopreservacio (una mostra)
10136,criopreservacion de muestra seminal hasta dos anos | criopreservacio mostra seminal  (> 1 mostra) | criopreservacio mostra seminal  fins a dos anys
10136B,estudio criopreservacion muestra seminal | estudi criopreservacio mostra seminal  fins a dos anys
10137,crioinseminacion (iad) | crioinseminacio (iad) + 2 dosis | crioinseminacio (iad)
10137B,estudio crioinseminacio (iad) | estudi crioinseminacio (iad)
10139,fiv ovulos vitrificados | crioinseminacio (iad) 1 dosis | f.i.v. oocits vitrificats
10139B,estudio fiv recepcion de ovocitos vitrificados | estudi fiv recepcio d oocits vitrificats
1013C,consell especial (coop) + famba
1014,dialisi  domiciliaria
10140,amnioscopia
10141,curset educacio sanitaria -curs complert- ginecologia
10146,cariotip (vellositats corials)
10148,angioplastia por oclusion total cronica | angioplastia per oclusio total cronica
10149,coros + catet.  d-e | coros + injertografia
1015,visita a urgencies c/valencia
10150,biopsia miocardiaca | biopsia miocardi
10151,biopsia testicular fiv | biopsia testicular fiv
10151B,estudio biopsia testicular fiv | estudi biopsia testicular fiv
10151C,biopsia testicular criopreservacion fiv | biopsia testicular criopreservacio fiv
10151CB,estudio biopsia testicular criopreservacion fiv | estudi biopsia testicular criopreservacio fiv
10152,basculacion | basculacio
10153,implantacion desfibrilador | implantacio desfibril.lador - no incloula protesis (icmcv) | implantacio desfibril.lador
10155,cardioversion | cardioversio
10156,intervencio de cirurgia cardiaca amb metodologia de heart port
10158,valvuloplastia aortica | valvuloplastia aortica
1016,hemodiafiltracion unidad general | hemodiafiltracio unit. general
10161,valvuloplastia endoscopica  - no incloula protesis
10162,intervencio coronaria i/o valvular amb circulacio extracorporia - no inclou la p
10164,h2 sobrecreixement bacteria (sibo)
10165,h2 xilosa
10166,alotrasplantament de moll d os - donantemparentat
10167,autotrasplantament de moll d os
10168,alotrasplantament moll d os donant no emparentat
10169,alotrasplantament de precursor hematopoetics
1016A,aferesi - sala general dialisi
1017,dialisis periferica | dialisi periferica
10170,autotrasplant. precursor hematopoetics | autotrasplantament de precursor hematopoetics
10173,potenciales evocados auditivos+visuales-somestesicos
10176,dies tractament bombes insulina
10176F,dies tractament flash
10176NT,dies tractament nansa tancada
10176S,dies tract. sensor temps real
1018,visita preanestesia presencial | visita preanestesia
10184,puncion lumbar | puncio lumbar
10185,eco doppler transcraneal (dtc) | doppler transcraneal
10187,estudi neurofisiologic de l epilepsia
1018F,visita preanestesia infermeria
1018FTT,visita preanestesia infermeria telefonica
1018FVT,visita preanestesia infermeria videotrucada
1018TT,visita preanestesia telefonica
1018VT,visita preanestesia videotrucada
1019,implantes
10190,hospital dia est. compl. sociosanita-gral (nrl)
10191,hospital dia est. mitja jornada sociosanitaria (nrl)
10192,consulta d avaluacio neuropsicologica
10193,eco doppler continuo troncos supra-aorticos | eco doppler continu troncs supra-aortics
10194,registre simple de   t.a.  durant  24 h.
10195,hemofiltracio per 24h
10199,nefrostomia per puncio ecografica
102,visita ambulatoria (sucesiva) | visita ambulatoria (succesiva) | visita ambulatoria (successiva)
10205,vasectomia
10208,dilatacion uretral | dilatacio uretral
10209,biopsia testicular
1021,noves anestesia dolor cronic
10210,ecografia renal
10212,test d ereccio farmacologic
10215,espirometria forzada con broncodilatador | espirometria forcada amb broncodilatador
10216,funcionalismo completo con gasometria | funcionalisme complet (amb gasometria) | funcionalisme complet amb gasometria
10217,funcionalismo completo sin gasometria | funcionalisme complet (sense gasometria) | funcionalisme complet sense gasometria
10218,prueba de esfuerzo incremental (con cateter) | prova d esforc incremental | prova d esforc incremental (amb cateterarterial)
10219,prova d esforc amb hemodinamica pulmonar | pr. d esforc amb hemodinamica pulmonar
1022,revisions anestesia dolor cronic
10220,prova  d esforc d asma | prova d esforc  asma
10221,prueba de esfuerzo en estado estable | prova d esforc  en estat estable
10222,medicion de gases exhalados: feno | mesura de gasos exhalats | mesura de gasos exhalats: feno
10223,volumenes pulmonares de dilucion de helio | volums pulmonars per dilucio d heli | volums pulmonars de dilucio d heli
10224,estudi hemodinamic pulmonar simple | cateterisme arteria pulmonar - hemodinamica pulmonar
10226,evaluacion de funcion diafragmatica conpresion transdiafragmatica | estudi  d`evaluacio de la funcio pulmonar - pressio transdiafragmatica | avaluacio de funcio diafragmatica amb pressio transdiafragmatica
10228,presiones respiratorias maximas pim-pem | pressions respiratories maximes pim-pem
10229,test broncoprovocacio amb manitol
10230,espirometria forzada con gasometria arterial | espirometria forcada (amb gasometria) | espirometria forcada amb gasometria arterial
10231,espirometria forzada con mascaras flujo-volumen | espirometria forcada + nanses flux-volum | espirometria forcada amb nanses flux-volum
10232,espirometria forzada con broncoprovocacion inespecifica - metacolina | espirometria forcada + metacolina - broncoprovocacio. | espirometria forcada amb broncoprovocacio inespecifica - metacolina
10233,espirometria forzada con test de difusion co-dlco | espirometria forcada + test de difusio co (dlco) | espirometria forcada amb test de difusio co-dlco
10234,prueba de esfuerzo incremental (sin cateter arterial) | prova d esforc incremental (sense cateter arterial)
10235,espirometria forzada | espirometria forcada
10236,calcul de la fraccio de shunt
10237,estudio hemodinamico con prueba vasodilatadora | test de reactividad vascular pulmonar | estudi hemodinamic amb prova vasodilatadora
10238,distribucions ventilacio-perfusio simplificat  (vena-vena) | distribucions ventilacio perfusio simplificat  - va/q tgim vena-vena
10239,distribucions ventilacio-perfusio convencional (arteria + qt per verde indociani | distribucions ventilacio perfusio convencional - va/q tgim arterial
10240,distribucions ventilacio-perfusio amb hemodinamica pulmonar | distribucions ventilacio perfusio amb hemod. pulmonar - va/q tgim arteria-vena
10243,test de marcha de 6 minutos | test de la marxa | test de marxa de 6 minuts
10244,test sm | afasies
10244J,psicometria infanto-juvenil
10245,agnosies
10246,ansietat/depressio
10247,apraxies
10248,exploracion neuropsicologica | deteriorament cognitiu | exploracio neuropsicologica
10249,dolor funcional
10250,estat psicopatologic
10251,funcions executives
10252,trastorns del llenguatge
10253,memoria
10254,test psicopatologic | trets de personalitat
10255,nivell intel.lectual
10257,pericia judicial
10258,successiva psicologia | sessio de rehabilitacio neuropsicologica -per persona-
10258NP,activitat asincronica psicologia
10258TT,vis. succ. psicologia telef
10258VT,vis. succ. psicologia video
10260,psicoterapia de grup (icpp)
10260J,sessio grup ap sm infantil i juvenil
10261,terapia electroconvulsiva
10262,primera psicologia | sesio individual
10262TT,prim. vis. psicologia telef
10262VT,prim. vis. psicologia video
10297,anestesia de fiv
10297B,estudio anestesia de fiv | estudi anestesia de fiv
102AIS,visita cex atenc.integrada (successiva)
102CIL,visita infermera cil
102CRB1,control risc biologic 1
102CRB2,control risc biologic 2
102CRB3,control risc biologic 3
102CT,visita successiva telefonica medica
102DIET,visita successiva dietetica
102DIETG,vis. succ. diet. grupal
102DNP,trucada telefonica dietetica imprevista
102E,segona visita -rae
102ES,visita infermera d educacio sanitaria
102ESO,successiva educador social
102F,visita revision enfermeria | visita revisio infermeria
102FAD,vis. succ. inf addiccions dalce
102FAG,vis. succ. inf agressions
102FCARCCR,vis. succ. inf. car-ccr
102FCCROST,vis. succ. inf. ccr-ostomies
102FCIRHEP,vis. succ. inf. cirrosi hepatica
102FCURES,vis. succ. inf. cures ccee
102FDEM,vis. succ. inf tr. cognitius
102FEP,vis.  succ. inf epilepsia nrlce
102FIJ,vis. succ. inf infanto-juvenil csmij
102FIU,visita infermeria ensayo clinico
102FMBF,vis. succ. inf. microbiota fecal
102FMII,vis. succ. inf. m.inf.intestinal
102FNI,vis. succ. inf neuroimmuno
102FNP,trucada telefonica infermeria imprevista
102FONCHEP,vis. succ. inf. onco. hepatica
102FPCI,vis. succ. inf psicosi incipient csma
102FPER,vis. succ. inf perinatal
102FPOSTRA,vis. succ. inf. post-trasp. hep.
102FPRETRA,vis. succ. inf. pre-trasp. hep.
102FTM,vis. succ. inf trs moviment nrlce
102FTMS,vis. succ. inf tms csma
102GEN,visita successiva genetista
102HD,vis. suces. tratamiento
102HDTT,vis. suces. telefonica tratamiento
102HDVT,vis. suces. videollamada tratamiento
102IU,visita sucesiva ensayo clinico
102IUTT,visita sucesiva telefonica ensayo clinico
102IUVT,visita successiva videotrucada ensayo clinico
102LOGI,intervencio logopedica
102NP,visita no presencial
102NPES,activitat asicronica educador social
102NPINF,activitat asincronica infermeria
102NPTO,activitat asincronica t. ocupacional
102NPTS,activitat asincronica treball social
102O,visita successiva oxigen
102OTT,visita successiva telefonica oxigenoterapia
102PH,visita successiva prehabilitacio
102PH2,entrenament fisic pre-hab
102PHTT,visita successiva prehabilitacio telefonica
102R,visita medica raquis
102RB1,succ visita risc biologic 1
102RB2,succ visita risc biologic 2
102RB3,succ visita risc biologic 3
102RV,visita infermera de reeducacio vesical
102SI,ipa en neonatologia en neurodesenvolupament
102TO,successiva terapeuta ocupacional
102TS,visita successiva treball social
102TSAD,vis. succ. treball social addiccions
102TSAG,vis. succ. treball social agressions
102TSBIP,vis. succ. treball social t. bipolar csma
102TSEZ,vis. succ. treball social esquizofrenia
102TSIJ,vis. succ. treball social csmij
102TSPSI,vis succ. treball social programa psi
102TSTEA,vis. succ. treball social tea csmij
102TT,visita sucesiva telefonica medica | visita successiva telefonica medica
102TTDIET,visita successiva telefonica dietista
102TTE,visita successiva telefonica medica rae
102TTGEN,visita telefonica successiva genetista
102TTLOGI,intervencio logopedica telef
102TTTS,vis. succ. treball social telef
102VT,visita sucesiva con videollamada medica | visita successiva amb videotrucada medica
102VTDIET,visita successiva videotrucada dietista
102VTDIETG,vis. succ. diet. grupal virtual
102VTE,visita successiva videotrucada medica rae
102VTGEN,visita successiva videotrucada genetista
102VTINF,visita amb videotrucada infermeria
102VTTS,vis. succ. treball social video
103,interconsulta cext | interconsulta cex
1030,visita psi hosp. a domicili
10301,act.anes.per radiologia
10302,sessio grup dolor cronic
10303,sessio individual dolor cronic
10306,evaluacio multidiscplinar dolor cronic
10307,tractament intensiu dolor cronic
10308,tractament no intensiu dolor cronic
10309,molemax (dermatoscopia digital) total
1030FI,visita d infermeria hospitalaria a domicili
1030P,visita a domicili atencio integrada
1030S,vis.a domicili (seguiment) at.integrada
1031,visita metge hosp. a domicili
10310,biopsia arterial temporal y diagnostico | biopsia arterial temporal i diagnostic
10311,exeresis simple b (biopsias dermatologicas simples) | exeresi simple b (biopsies derm. simples)
10312,biopsia nervi sural  i diagnostic
10313,terapia fotodinamica
10314,implant membrana amniotica
10315,microscopia confocal | microscopia confocal
10316,procediment de fibromialgia
10317,anoscopia diagnostica | anoscopia diagnostica
10318,anoscopia terapeutica | anoscopia terapeutica
1032,"visita hospital pac. hdom, hdomic i pfragil"
10320,biopsia de glandulas salivales y diagnostico | biopsia de glandules salivals i diagnostic
10321,inseminacion semen donante | inseminacio semen donant
10322,fiv semen donante | f.i.v. semen donant
10324,fiv ovocitos vitrificados y semen donante | f.i.v. oocits vitri i semen donant
1033,llamada telefonica enfermeria | trucada telef. infermeria
1033FI,trucada telef. hospitalaria a domicili
1033PHTT,visita telefonica infermeria pre-programa prehab.
1035,visita enfermeria hosp. a domicilio hematologia | visita inferm. hosp. a domicili hematologia
10350,a.e. als t. mentals greus en infants i adolescents
10360,eco dtc potenciador
10361,eco dtc acetazolamida
10362,eco dtc arteria temporal
10363,eco dtc y troncos supraaorticos | eco dtc i tronc supraortic
10364,eco dtc shunt
1036G,sessio educacio grupal mpoc
10370,enervacio renal
1037I,sessio educativa individual
10380,implante de marcapasos | implant de marcapas
10381,implante de marcapasos bicameral | implant de marcapas bicameral
10382,implant de marcapas tricameral
10383,upgrade a marcapas tricameral
10384,implante holter subcutaneo | implant holter subcutani
10385,implant dai tricameral
10386,upgrade a dai tricameral
10387,recol*locacio o revisio electrode
10388,recanvi marcapas mono
10389,recanvi marcapas bicameral
10390,recanvi marcapas tricameral
10391,extraccion holter subcutaneo | extraccio holter subcutani
10392,recanvi dai mono
10393,recanvi dai tricameral
10394,recanvi dai bicameral
10395,prueba de esfuerzo convencional/rehabilitacion cardiaca | prova d esforc convencional/rehabilitacio cardiaca
103AGI,interconsulta agi cext
103AGIDUM,solicitud interconsulta agi cext
103CSM,interconsulta csmee cext
103CSMDUM,solicitud interconsulta csmee cext
103DUMMY,solicitud interconsulta cex
103EAI,interconsulta eagi cext
103EAIDUM,solicitud interconsulta eagi cext
103EAITT,interc. cext telefonica eaia
103H,derivacion interconsulta hosp - cext
103HCSM,derivacion csmee interconsulta hosp-cext
103HCSMDUM,solicitud deriv. csmee interconsulta hosp-cext
103HDUMMY,solicitud derivacion interconsulta hosp- cex
103HEAI,derivacion eagi interconsulta hosp-cext
103HEAIDUM,solicitud deriv. eagi interconsulta hosp-cext
103HEAITT,derivacio interc. hosp-cext telefonica eaia
103HO,derivacio interconsulta oxigen
103HODUMMY,solicitud interconsulta oxigen o. hospital
103HOTT,derivacio interc. hosp-cext telefonica oxigenoterapia
103HTT,derivacio interc. hosp-cext telefonica
103HVT,derivacio interc. hosp-cext videotrucada
103O,interconsulta oxigen
103ODUMMY,solicitud interconsulta oxigen o. ccee
103OTT,interc. cext telefonica oxigenoterapia
103TT,interconsulta cext telefonica
103U,derivacion interconsulta urg - cext
103UCSM,derivacion csmee interconsulta urg-cext
104,hospital de dia | hospital de dia
1040,hospital de dia oncologia | hospital de dia oncologia
10400,presoterapia per linfedema
10401,terapia pressio negativa
10401U,terapia pressio negativa un sol us
10402,vop vitrificacio ovocits per puncio vop
10404,conexe congelacio esperma ejaculacio cee
10406,pov puncio ovarica pob
10408,transf transferencia embrions rha
10409,iartif inseminacio artificial rin
1040IU,tratamiento ensayo clinico
1040IUE,hospital de dia ensayo clinico extra
1040IUH,sessio iu hospitalitzat
1040UAD,hospital de dia domiciliari onco-hemato
10461,deteccio del donant | intervencions d extraccio d organs
10461_NV,deteccio del donant no valid
10462,cor parat tipo ii a
10463,cor parat tipo ii b
10464,cor parat tipo iii
10465,interv. d extraccio d organs_altres hospitals
10466,codi infart
10467,suport donacio intern
10471,abordatge fetge
10473,abordatge cardiaca
10474,fetge ecmo
10475,abordatge pancrees
10476,part fixe. manteniment de programa -trasp. renal-
10477,test d atropina
10478,prueba de esfuerzo consumo de gases (cinta rodante) | prova d esforc consum de gasos (cinta rodant)
10479,test de microcirculacion coronaria | test de microcirculacio coronaria
10480,tractament de rebuig
10493,oscilometria fot
10494,test de la marxa amb oxigen
104AH,instilacion intravesical acido hialuronico | instil*lacio intravesical acid hialuronic
104AI,hospital de dia atencio integrada
104ALE,hd al.lergia
104BAND,hosp dia banding
104BCG,instilacion intravesical con bcg | instil*lacio intravesical amb bcg
104BIOPSIA,hosp dia biopsia
104CAP,hd cpulmo
104CE,seguiment cons. inferm. estomaterapeuta
104CEP,visita preoperatoria infermera estomes
104CF,cura ferida quirurgica
104CTR,hd ctr
104ES,cil educacio sanitaria
104EV,endovenoso altres
104EVT,tractament endovenos
104FERRO,ferroterapia intravenosa
104FURO,tractament furosemida
104HEHEM,hosp dia hemodinamica
104HTP,hd htp
104INFLEX,tractament biologic
104INSUL,insulinitzacio
104INT,hd intersticials
104LEVO,tractament levosimendan
104MAB,hd mab
104MAPA,mapa
104MC,instil.lacio intravesical mitomicina
104NIVO,hosp dia nivolumab
104NP,nervio pudendo (udu)
104PARAC,paracentesis
104POSTTX,valoracio metabolica post transplantament
104POSTTXI,valoracio metabolica post tx inmediat
104PRETX,valoracio metabolica pre transplantament
104PRFUNC,prova funcional
104QUIM,hosp dia quimio hepatica
104REVN,revisio neuroestimulador
104RP,ompliment perfusor
104SENSOR,sensor
104SI,sessio informativa llevadora
104SIVT,sessio virtual llevadora
104SON,hd sueno | hd son
104SPP,sessio post part llevadora
104SURGI,tractament surgiran
104TACE,hosp dia tace
104TEP,hd tep
104TQ,tractament topic
104TRANSF,transfusio
104TYR,thyrogen
104VMNI,hd vmni
104ZOLE,hosp dia a. zoledronic
105,sesion rehabilitacion ambulatoria | sessio rehabilitacio ambulatoria
1050,estudio electrofisiologico | estudi electrofisiologic
10500,primera visita agi
10500TT,primera visita telefonica agi
10500VT,primera visita videotrucada agi
10501,visita successiva agi
10501TT,visita successiva telefonica agi
10501VT,visita successiva videotrucada agi
10502,evaluacion de transtornos cognitivos | avaluacio de transtorns cognitius
1051,ablacion | ablacio
1052,ablacion de la fibrilacion auricular | ablacio de la fibrilacio auricular
10526,espirometria en decubito | espirometria  en decubit
1053,holter
1054,obtencio factors creixement plaquetari
1055,terapia de pressio negativa v.a.c.
1056,test de flecainida
105697,dialisi mars
105F,taller educativo de artroplastia | taller educatiu d artroplastia
105FG,taller educatiu artroscopia de genoll
105FS,taller educatiu artroscopia membre superior
105G,sessio grupal
105GL,sessio grupal logopeda
105L,sessio logopedia
105MA,sessio magnetoterapia
106,primera visita primaria sm | primera visita capip
10603,sessio rehab. sindrome fatiga cronica
10604,neurolisis per radiofrequencia
10610,eagi primera
10610H,visita amb. eagi origen hosp. (primera)
10610TT,eagi primera telefonica
10611,eagi succesiva
10611TT,eagi succesiva telefonica
10612,eagi proces
10613,pac - hta
10614,esput induit
10615,fibroscan en vih
10616,ecg - hta
10617,pentamidina inhalada
10630,prevencio nca
10631,control dermatologia hdia
10632,control its hdia
10633,ulceres hdia der
10634,bany terapeutic
10635,biopsia cutania hdia
10636,pcc control hdia mdi
10637,biopsia muscular (estudio mitocondrial) | biopsia muscular (estudi mitocondrial)
10638,pesia (lactato-amonio seriados) | pesia (lactat-amoni seriats)
10639,udr control hdia mdi
10640,control hdia mal. autoimmunes i s.
10641,tractament hdia icmid
10642,tractament hdia inf
10643,control hdia inf
10644,control infhdo (hdia inf domicili)
10645,dexa hdia inf
10647,telemedicina hdia inf
10648,ulceras mas hdia
10649,extraccion mas hdia
10650,tratamiento ev mas hdia
10651,procedimientos mas hdia
10652,extraccion mdi hdia
10653,procedimientos mdi hdia
10654,procedimientos der hdia
10655,extraccion der hdia
10656,tratamiento ev der hdia
10657,extraccions iu
10659,visita logopeda
10659TT,visita logopeda telef
10660,infermera addiccions dalce
10661,treball. social addiccions dalce
10662,infermera agressions psice
10663,infermera perinatal psdce
10664,infermera epilepsia nrlce
10665,inferm. transtorn moviment nrlce
10666,infermera infanto-juvenil csmij
10667,treball. social general csmij
10668,treball. social tea csmij
10669,inferm. psicosi incipient csmee
10670,infermera tms csmee
10671,treball.social esquizofrenia csmee
10672,treball.social trastorn bipolar csmee
10673,hdia tr. espectre autista prescolar greu
10674,trastorn afectiu
10675,treball social agressions
10676,treball social general psi
10677,sessio hdia perinatal
10678,escaner corporal 3d | escaner corporal 3d
10680,biopsia dermatologica compleja | biopsia dermatologica complexa
10681,valoracion evaluacion de riesgo vascular | valoracio avaluacio risc vascular
10682,ecografia hipertensio
10683,punch estudi cancer hematologic germinal
106E,prim.visita salut mental adults_rae
106H,visita amb. csmee origen hosp. (primera)
106J,primera visita ap sm infantil i juvenil
106JE,prim.visita salut mental inf-juv_rae
106JH,visita amb. csmij origen hosp. (primera)
106JU,visita ambulat.csmij origen urg.(primera)
106U,visita ambulat.csmee origen urg.(primera)
107,visita sucesiva primaria sm | visita sucesiva capip
10700,interv. quirurgica d obesitat morbida
10700B,int. quir. obesitat morbida 2on temps
107E,vis.succes.salut mental adults_rae
107J,visita sucesiva ap sm infantil i juvenil
107JE,vis.succes.salut mental inf-juv_rae
108,primera visita capip
1100,coronariografia | coronariografia
11000,telemetrica eeii | telemetrica eeii
11001,telemetrica eeii con alza en pie | telemetrica eeii con alza en pie
11002,dedo del pie ap (indicar el dedo)
11003,dedo del pie lateral (indicar el dedo) | dedo del pie lateral  (indicar el dedo)
11004,antepie ap
11005,antepie lateral
11006,antepie oblicua | antepie oblicua
11007,dedo 1er tangencial huesos sesamoideos
11008,pie ap
11009,pie lateral
1101,cateterismo d-e | cateterisme d-e
11010,pie ap y oblicua | pie ap y oblicua
11011,pie bipedestacion ap (en carga) | pie bipedestacion ap (en carga)
11012,pie bipedestacion lateral (en carga) | pie bipedestacion lateral(en carga)
11013,calcaneo axial  (planto dorsal)
11014,calcaneo lateral
11015,tobillo ap y perfil
11016,tobillo lateral
11017,tobillo oblicua (45 grados rotacion interna)
11018,tobillo forzada ap (estudio lle)
11019,tobillo  forzada ap (estudio lli)
11020, tobillo forzada lateral
11021, tobillo meary
