lab_sap_ref,lab_descr,units,lab_ref
LAB1355,PUNTEJAT BASOFIL,N.D.,4172
LAB1357,COSSOS HOWELL-JOLLY,N.D.,4173
LAB1360,VSG velocidad sedimentacion golb,mm/h,67
LAB1361,Reticulocitos absoluta manual,10^9/L,68
LAB1362,Reticulocitos % manual,%,69
LAB1363,Reticulocitos % baja fluor,%,70
LAB1364,Reticulocitos % media fluor,%,71
LAB1365,Reticulocitos % alta fluor,%,72
LAB1367,Viscositat plasmàtica,Centipoises,4174
LAB1368,Hemoglobina glicada JDS JSCC,%,73
LAB1369,Comentari Formula,N.D.,4175
LAB1370,Comentario morfología eritrocitá,N.D.,74
LAB1463,Comentario del frotis de sangre,N.D.,75
LAB1468,Hemoglobina A2,N.D.,76
LAB1469,Hemoglobina fetal,N.D.,77
LAB1470,Electroforesis de Hb a ph 9,N.D.,78
LAB1471,Comentario estudio de hemoglobin,N.D.,79
LAB1473,Dosificación de banda anómala de,%,80
LAB1475,"Metahemoglobina, sangre",%,81
LAB1476,Electroforesis de Hb a ph 6,N.D.,82
LAB1478,Solubilitat de lhemoglobina,N.D.,83
LAB1479,Prova de Kleihauer (HbF),N.D.,84
LAB14CPROI,Interpretació,N.D.,85
LAB1500,Barbitúricos en sèrum,N.D.,86
LAB1501,Barbitúricos en orina,N.D.,87
LAB1502,Benzodiazepinas en sèrum,N.D.,88
LAB1503,Benzodiazepinas en orina,N.D.,89
LAB1504,Antidepresivos tricíclicos en sè,N.D.,90
LAB1505,Amfetaminas en orina,N.D.,91
LAB1507,Metadona en orina,N.D.,92
LAB1508,Opiacis en orina,N.D.,93
LAB1510,Cannabis en orina,N.D.,94
LAB1512,Cocaina en orina  (benzoilecgoni,N.D.,95
LAB1516,Metadona confirmació,N.D.,4176
LAB1517,Etanol en orina,N.D.,96
LAB1518,"Alcohol etílico urgente, plasma",g/L,97
LAB1519,Etanol confirmación,g/L,98
LAB1521,Paracetamol en sèrum (Acetamin,N.D.,99
LAB1522,Salicilats en sèrum,N.D.,100
LAB1523,Ciclosporina,ng/mL,101
LAB1524,Teofil.lina en sèrum,N.D.,102
LAB1525,Cafeina en sérum,µg/mL,103
LAB1526,Carbamazepina en sérum,µg/mL,104
LAB1527,Etosuximida en sérum,µg/mL,105
LAB1528,Fenobarbital en sérum,µg/mL,106
LAB1529,Fenitoïna en sérum,µg/mL,107
LAB1530,Primidona en sèrum,N.D.,108
LAB1531,"Ácido valproico, sérum",µg/mL,109
LAB1532,Metotrexat en sèrum,N.D.,110
LAB1534,"Amikacina pre dosis, sérum",µg/mL,111
LAB1535,"Amikacina post dosis, sérum",µg/mL,112
LAB1536,Gentamicina pre dosi sèrum,N.D.,113
LAB1537,Gentamicina post dosi sèrum,N.D.,114
LAB1538,Netilmicina pre dosi sèrum,µg/L,4177
LAB1539,Netilmicina post dosi sèrum,µg/L,4178
LAB153C,"Antígeno CA 153.3, líquido",U/mL,115
LAB1540,Tobramicina pre dosi sèrum,N.D.,116
LAB1541,Tobramicina post dosi sèrum,N.D.,117
LAB1543,Vancomicina pre dosi sèrum,N.D.,118
LAB1544,Lidocaïna en sèrum,N.D.,119
LAB1545,Fluoxetina en sérum,ng/mL,120
LAB1546,Norfluoxetina en sèrum,N.D.,121
LAB1547,Digoxina en sérum,ng/mL,122
LAB1548,"Amitriptilina, sérum(Ami+Nor)",ng/mL,123
LAB1550,Doxepina sèrum (Dox+Ddox),ng/mL,4179
LAB1551,Imipramina sèrum (Imi+Dmi),N.D.,124
LAB1552,Maprotilina en sèrum,N.D.,125
LAB1553,Nortriptilina en sèrum,N.D.,126
LAB1554,Clomipramina (Clom+Dclom),ng/mL,127
LAB1555,Liti en sèrum,mEq/L,128
LAB1556,Tiopental en sèrum,N.D.,129
LAB1558,"Aluminio, sérum",µg/L,130
LAB1559,Alumini post deferoxamina,µg/L,4180
LAB1560,Aluminio en líquido de dialisis,µg/L,131
LAB1561,Alumini en aigua tractada,µg/L,4181
LAB1562,Arsénico en sang,µg/L,132
LAB1563,Arsénico en orina,µg/L,133
LAB1564,Arsènic varis,µg/g,4182
LAB1565,Arsènic cabell,µg/g,4183
LAB1566,Bismuto en sangre,µg/L,134
LAB1567,Cadmio en sangre,µg/L,135
LAB1568,Cadmio en orina,µg/L,136
LAB1569,Cobalto en sérum,µg/L,137
LAB1570,Cromo en sérum,µg/L,138
LAB1571,Cromo en orina,µg/L,139
LAB1572,Fluor en sèrum,µg/L,4184
LAB1573,Fluor en orina,µg/L,140
LAB1574,Mercuri en sang,N.D.,141
LAB1575,Mercuri en orina,N.D.,142
LAB1576,Niquel en sèrum,N.D.,143
LAB1582,Tal.li en sèrum,µg/L,144
LAB1583,Plom en sang,N.D.,145
LAB1584,Plom en orina,N.D.,146
LAB1585,Plom varis,N.D.,147
LAB1587,"Amanitinas, orina",ng/mL,148
LAB1588,Carboxihemoglobina,%,149
LAB1589,"Cianuro, sangre total",N.D.,150
LAB1592,Etilenglicol en sèrum,N.D.,4185
LAB1594,"Etilenglicol urgente, sérum",N.D.,151
LAB1596,Metanol en sang,g/L,4186
LAB1598,Metanol varis,N.D.,152
LAB1599,Paraquat en sèrum,N.D.,4187
LAB1600,Paraquat en orina,N.D.,153
LAB1602,Pseudocolinesterases en sèrum,N.D.,154
LAB1609,Tacròlimus FK506,ng/mL,155
LAB1616,Arsènic en ungles,µg/g,4188
LAB1617,Vancomicina post dosi sèrum,N.D.,156
LAB1618,Clordiazepoxido en sérum,ng/mL,157
LAB1619,Oxazepam en sèrum,N.D.,158
LAB1620,"Desalquilflurazepam, sérum",ng/mL,159
LAB1621,Nordiazepam en sèrum,N.D.,160
LAB1622,Diazepam en sérum,ng/mL,161
LAB1623,Clonazepam en sérum,ng/mL,162
LAB1625,Lamotrigina en sèrum,µg/mL,163
LAB1630,Bismuto en orina,µg/L,164
LAB1631,Tal.li en orina,N.D.,165
LAB1632,Cotinina en orina,ng/mL,166
LAB1653,Ácido Micofenólico,µg/mL,167
LAB1672,Anticuerpos antiDNA bicatenario,UI o UI/mL,168
LAB1689,Dosificación IgG en LCR,mg/L,169
LAB1690,Dosificación de IgA en LCR,N.D.,170
LAB1691,Dosificación de IgM en LCR,mg/L,171
LAB1693,Dossificació de IgG en sèrum,N.D.,4189
LAB1694,Index de IgG,N.D.,172
LAB1695,"Bandas oligloconales IgM, LCR",N.D.,173
LAB1696,Immunofixació en sèrum,N.D.,174
LAB1697,Immunofixació en orina,N.D.,175
LAB16DHEAO,16a-OH-dehidroepiandrosterona,µg/24h,176
LAB1700,Cocient cadenes lleugeres kapp,N.D.,4190
LAB1701,Immunofixació en LCR,N.D.,177
LAB1705,Dosificación de C1q,mg/dL,178
LAB1706,Dossificació C1-inhibidor,g/L,4191
LAB1708,Crioglobulinas,N.D.,179
LAB1725,"Cadenas ligeras Kappa, sérum",N.D.,180
LAB1726,"Cadenas ligeras Lambda, sérum",N.D.,181
LAB1743,Immunoglobulina subclasse IgG1,N.D.,182
LAB1744,Immunoglobulina subclasse IgG2,N.D.,183
LAB1745,Immunoglobulina subclasse IgG3,N.D.,184
LAB1746,Immunoglobulina subclasse IgG4,N.D.,185
LAB1756,Immunoglobulina IgA serum,g/L,186
LAB1757,IgG dosificacion serum,g/L,187
LAB1758,Immunoglobulina IgM serum,g/L,188
LAB1759,Factor C3 complemento,g/L,189
LAB1760,Factor C4 complemento,g/L,190
LAB1761,CH50,U/mL,191
LAB1782,Albumina,g/L,192
LAB17HPO,17-OH-pregnenolona,µg/24h,193
LAB17OHO,3a-5a-17-OH-pregnenolona,N.D.,4192
LAB1807,Manganes en serum,N.D.,194
LAB18HID,"18 - hidroxicortisol, orina 24 h",µg/24h,195
LAB18OXOO,18-oxo-tetrahidrocortisol,N.D.,4193
LAB204W6,Ácido araquidónico (C20:4w6),nmol/mg prot,4194
LAB204W6C,Ratio C20:4w6/C18:2w6,N.D.,4195
LAB21HAB,"Anticuerpos anti-21-hidroxilasa,",U/mL,196
LAB220I,,N.D.,4196
LAB220II,,kU/L,4197
LAB221I,IgE f1 gos -concentració,N.D.,4198
LAB221II,IgE f1 gos -concentració,kU/L,4199
LAB2404,ASA aspartat aminotransferasa,U/L,197
LAB2405,ALAT Alanin aminotransferasa,U/L,198
LAB2406,Gamma glutamil transpeptidasa,U/L,199
LAB2407,Bilirrubina adulto total,mg/dL,200
LAB2408,Bilirrubina directa,mg/dL,201
LAB2409,BILIRRUBINA INDTA.,mg/dL,4200
LAB2410,Fosfatasa alcalina,U/L,202
LAB2411,Fosfatasa alcalina termostable,%,203
LAB2412,Fosfatasa alcalina fracción òsea,%,204
LAB2413,Fosfatasa alc. fracción hepática,%,205
LAB2414,Fosfatasa alc. macromolecular,N.D.,206
LAB2415,Fosfatasa alc. intestinal,%,207
LAB2416,Fosfatasa alc. placentária,N.D.,208
LAB2417,Fosfatasa alc. LPX-bound,N.D.,209
LAB2418,F.ALCAL.LIPO,N.D.,4201
LAB2419,Lactato LDH,U/L,210
LAB2422,Glucosa,mg/dL,211
LAB2444,GLUCOSA 60,mg/dL,4202
LAB2466,BUN,mg/dL,212
LAB2467,Creatinina sangre,mg/dL,213
LAB2468,Ácido úrico plasma,mg/dL,214
LAB2469,Colesterol total,mg/dL,215
LAB2476,Trigliceridos,mg/dL,216
LAB2482,Ácidos grasos,µmol/L,217
LAB2489,Colesterol HDL,mg/dL,218
LAB2490,Colesterol LDL,mg/dL,219
LAB2492,Creatinina quinasa,U/L,220
LAB2493,CKMB creatin quinasa MB,U/L,221
LAB2496,Aldolasa,U/L,222
LAB2497,Mioglobina,N.D.,223
LAB2498,Proteinas totales,g/L,224
LAB2499,Albumina proteina % serum,%,225
LAB2500,Proteinas Alfa 1 glob % serum,%,226
LAB2501,COMENTARI PROT,N.D.,4203
LAB2502,Proteinas Alfa 2 glob % serum,%,227
LAB2503,Proteinas beta glob % serum,%,228
LAB2504,Proteinas gamma glob % serum,%,229
LAB2505,Amilasa,U/L,230
LAB2506,Lipasa,U/L,231
LAB2507,"Sodio, sangre",mEq/L,232
LAB2508,"Potasio, sangre",mEq/L,233
LAB2509,"Cloruro, sangre",mEq/L,234
LAB2510,Osmolalidad,mOsm/kg,235
LAB2511,Calcio,mg/dL,236
LAB2513,"Fosforo, plasma",mg/dL,237
LAB2514,Magnesio,mg/dL,238
LAB2515,Cobre,µg/dL,239
LAB2517,Seleni,µg/L,240
LAB2518,Hierro,µg/dL,241
LAB2521,F.ACIDA NO PROSTATA,N.D.,4204
LAB2524,Antiestreptolisinas (ASLO),UI/mL,242
LAB2525,Alfa carotens,N.D.,243
LAB2526,Beta carotens,µmol/L,244
LAB2527,Zinc,µg/dL,245
LAB2538,Amonio,µmol/L,246
LAB2540,AFP Alfafetoproteina,ng/mL,247
LAB2544,Microglobulina beta 2,mg/L,248
LAB2546,CEA antigeno carcinoembrionario,ng/mL,249
LAB2549,"Lactato, sangre",mg/dL,250
LAB2551,Tripsina sèrum,N.D.,251
LAB2552,Gastrina,N.D.,252
LAB2556,Ácidos biliars totals,µmol/L,253
LAB2557,Procolagen-III,N.D.,254
LAB2561,Creatinina aclaramiento,ml/min,255
LAB2562,Aclaramiento BUN,ml/min,256
LAB2563,Aclaramiento Ácido úrico,ml/min,257
LAB2567,Calcio ionizado sangre venosa,mmol/L,258
LAB2570,Antigeno CA-19.9,U/mL,259
LAB2571,Antigeno CA-125,U/mL,260
LAB2572,Pepsinogen,N.D.,261
LAB2573,Prealbúmina LCR,N.D.,262
LAB2575,PCR,mg/dL,263
LAB2577,Desialotransferrina,N.D.,4205
LAB2578,Vitamina B1,ng/mL,264
LAB2579,Vitamina B6,nmol/L,265
LAB2580,Colesterol VLDL (ultracentrifuga,mg/dL,266
LAB2582,Apolipoproteina B VLDL (ultracen,mg/dL,267
LAB2583,Colesterol LDL (ultracentrifugac,mg/dL,268
LAB2584,Apolipoproteina B LDL (ultracent,mg/dL,269
LAB2585,COLESTEROL HDL,mg/dL,4206
LAB2586,Apolipoproteina A1  HDL (ultrace,mg/dL,270
LAB2588,Homocisteina basal,µmol/L,271
LAB2591,Enolasa neuronal especifica,ng/mL,272
LAB2592,Antigeno CA-153,U/mL,273
LAB2593,"Vitamina C, àcid ascòrbic",N.D.,274
LAB2595,"Fosfatasa alcalina ósea, sérum",ng/mL,275
LAB2598,CYFRA 21.1,ng/mL,276
LAB2601,Retinol,N.D.,277
LAB2607,Factor necrosis tunoral (TNF),pg/mL,278
LAB2611,Interleucina 6,pg/mL,279
LAB2617,Interleucina 1 beta,N.D.,280
LAB2626,LPA,mg/dL,281
LAB2627,Apolipoproteina B,mg/dL,282
LAB2634,Fosfoserina sèrum,N.D.,283
LAB2635,"Asparragina (ASN), plasma",µmol/L,284
LAB2636,ACID GLUTAMIC,µmol/L,4994
LAB2637,Alfa amino adípico sérum,µmol/L,285
LAB2638,HIDROXIPROLINA,µmol/L,5006
LAB2639,Fosfoetanolamina sérum,µmol/L,286
LAB2640,SERINA,µmol/L,5000
LAB2642,GLICINA,µmol/L,4991
LAB2643,BETA ALANINA,µmol/L,5005
LAB2644,TAURINA,µmol/L,5001
LAB2645,"Histidina (HIS), plasma",N.D.,287
LAB2646,GABA sèrum,N.D.,288
LAB2647,CITRULINA,µmol/L,4998
LAB2648,TREONINA,µmol/L,4997
LAB2649,ALANINA,µmol/L,5002
LAB2650,"Beta amino isobutírico, sérum",µmol/L,289
LAB2651,Carnosina sérum,µmol/L,290
LAB2652,"Arginina (ARG), plasma",µmol/L,291
LAB2653,"Prolina (PRO), plasma",N.D.,292
LAB2654,1 metil histidina sérum,µmol/L,293
LAB2655,Anserina en sèrum,µmol/L,294
LAB2657,A AMINO BUTIRIC,µmol/L,4995
LAB2658,"Tirosina (TYR), plasma",N.D.,295
LAB2659,VALINA,µmol/L,5007
LAB2660,"Metionina (MET), plasma",N.D.,296
LAB2661,"Cistationina, sérum",µmol/L,297
LAB2662,CISTINA,µmol/L,4999
LAB2663,"Isoleucina (ILE), plasma",N.D.,298
LAB2664,"Leucina (LEU), plasma",N.D.,299
LAB2665,HIDROXILISINA 1,µmol/L,4993
LAB2666,HIDROXILISINA 2,µmol/L,4992
LAB2667,"Fenilalanina (PHE), plasma",µmol/L,300
LAB2668,TRIPTOFAN,µmol/L,4996
LAB2669,"Ornitina (ORN), plasma",N.D.,301
LAB2670,"Lisina (LYS), plasma",N.D.,302
LAB2671,Xilosa sèrum,N.D.,303
LAB2672,Xilosa orina,%,4207
LAB2679,Proteina S100,µg/L,304
LAB2681,Receptors dinterleucina 2,N.D.,305
LAB2684,Apolipoproteina A1,mg/dL,306
LAB2691,IgA antigliadina,N.D.,307
LAB2692,IgG antigliadina,N.D.,308
LAB2697,Interleucina 10,N.D.,309
LAB2699,"Hidroxiprolina (HYP), plasma",N.D.,310
LAB2700,Antigeno prostatico especifico,ng/mL,311
LAB2702,SCC,ng/mL,312
LAB2707,Leucocitos sedimiento,U/campo,313
LAB2708,Hematias sedimiento,U/campo,314
LAB2709,"Cilindros granulosos, sedimento",N.D.,315
LAB2710,"Precipitats durat amorf, sedi",N.D.,316
LAB2711,Urats amorfos sediment orina,N.D.,317
LAB2713,"Precipitats de Fosfat amorf, s",N.D.,318
LAB2714,"Cristales Fosfato cálcico, sedim",N.D.,319
LAB2715,Cristales Fosfato amónico-magnés,N.D.,320
LAB2716,"Cristales de ácido úrico, sedime",N.D.,321
LAB2717,"Cristales Oxalat cálcico, sedime",N.D.,322
LAB2718,"Cristales Urato amónico, sedimen",N.D.,323
LAB2719,"Tricomones, sediment",N.D.,324
LAB2720,"Llevats, sediment",N.D.,325
LAB2721,"Cilindros hialinos, sedimento",N.D.,326
LAB2722,"Cilindros ceris, sedimentoo",N.D.,327
LAB2723,"Cilindros hialinos-granulosos, s",N.D.,328
LAB2724,"Cilindros leucocitarios, sedimen",N.D.,329
LAB2725,"Células epiteliales, sedimento",N.D.,330
LAB2726,Células transición sedimento de,N.D.,331
LAB2727,Cèl.lules renals sediment dor,N.D.,4208
LAB2728,pH en perfil bàsic orina,N.D.,332
LAB2729,Glucosa perfil bàsic orina,N.D.,333
LAB2730,"Cetona, PBO",N.D.,334
LAB2731,"Bilirrubina, PBO",N.D.,335
LAB2732,Urobilinogen perfil bàsic dor,N.D.,336
LAB2733,"Albúmina, PBO",N.D.,337
LAB2734,Leucòcits perfil bàsic orina,N.D.,338
LAB2736,DENSITAT ORINA BASIC,N.D.,4209
LAB2737,Nitrits perfil bàsic dorina,N.D.,339
LAB2738,"Amilasa, orina",U/L,340
LAB2739,Osmolalidad urinaria,mOs/kg,341
LAB2743,Densidad orina,g/mL,342
LAB2744,N-acetil glucosaminidasa orina,U/L,343
LAB2745,Lipasa orina,N.D.,344
LAB2746,pH ORINA RECENT,N.D.,4210
LAB2747,Creatinina orina,mg/dL,345
LAB2749,Ácido  5-OH-indolacético orina,mg/24h,346
LAB2750,Serotonina + 5 HTP urinària,N.D.,347
LAB2751,Hidroxiprolina orina,µmol/g creatinina,4211
LAB2752,Excreción de oxalato,mg/24h,348
LAB2753,Acidesa titulable,µL/24h,349
LAB2754,Amoniogénesis,µL/24h,350
LAB2755,Cloro orina,mEq/L,351
LAB2757,BICARBONATS ORINA NE,l/24 h,4968
LAB2758,Volumen minuto,ml/min,352
LAB2759,Coc. Beta-2-Microglobulina/creat,µg/g creatinina,353
LAB2761,Albúmina en uroproteinograma,%,354
LAB2762,Alfa 1 globulinas u,%,355
LAB2763,Alfa 2 globulines u,%,356
LAB2764,Beta globulinas u,%,357
LAB2765,Gamma globulines u,%,358
LAB2766,Cociente Albúmina/Globulinas uro,%,359
LAB2769,HIDROXIPROL ORINA,creat,4212
LAB2770,Cistinúria,N.D.,360
LAB2772,DIURESI,mL,4213
LAB2774,Magnesio orina reciente,mg/dL,361
LAB2775,Excreción de citrato,mg/24h,362
LAB2777,Glucosa orina 24h,mg/24h,363
LAB2779,3METIL HISTIDINA ORI,g crea,4942
LAB2783,Microalbuminuria,mg/24h,364
LAB2785,"Calcio, orina reciente",mg/dL,365
LAB2788,"Fósforo, orina",mg/dL,366
LAB2789,Tripsina orina,N.D.,367
LAB2791,"Cistationina, orina",mmol/mol creat.,368
LAB2792,CISTINA ORINA,g crea,4961
LAB2793,ISOLEUCINA ORINA,g crea,4943
LAB2794,Leucina orina,N.D.,4214
LAB2795,HIDROXILISINA ORINA,g crea,4946
LAB2796,HIDROXILISINA ORINA,g crea,4950
LAB2797,FENILALANINA ORINA,g crea,4945
LAB2798,TRIPTOFANO ORINA,g crea,4955
LAB2799,ORNITINA ORINA,g crea,4940
LAB2800,LISINA ORINA,g crea,4957
LAB2801,Fosfoserina orina,mmol/mol creat.,369
LAB2802,ACID ASPARTIC ORINA,g crea,4954
LAB2803,ACID GLUTAMIC ORINA,g crea,4952
LAB2804,Alfa amino adípico orina,mmol/mol creat.,370
LAB2805,HIDROXIPROLINA ORINA,g crea,4965
LAB2806,Fosfoetanolamina orina,mmol/mol creat.,371
LAB2807,SERINA ORINA,g crea,4960
LAB2808,ASPARRAGINA ORINA,g crea,4962
LAB2809,GLICINA ORINA,g crea,4969
LAB2810,BETA ALANINA ORINA,g crea,4953
LAB2811,TAURINA ORINA,g crea,4963
LAB2812,HISTIDINA ORINA,g crea,4964
LAB2813,GABA en orina,N.D.,372
LAB2814,CITRULINA ORINA,g crea,4941
LAB2815,TREONINA ORINA,g crea,4959
LAB2816,ALANINA ORINA,g crea,4951
LAB2817,BAIB ORINA,g crea,4947
LAB2818,Carnosina orina,mmol/mol creat.,373
LAB2819,ARGININA,g crea,4958
LAB2820,PROLINA ORINA,g crea,4956
LAB2821,1 metil histidina orina,mmol/mol creat.,374
LAB2822,Anserina en orina,mmol/mol creat.,375
LAB2823,AAMINOBUTIRIC ORINA,g crea,4944
LAB2824,TIROSINA ORINA,g crea,4967
LAB2825,VALINA ORINA,g crea,4948
LAB2826,METIONINA ORINA,g crea,4949
LAB2832,Sodi orina 24 hores,N.D.,376
LAB2833,Potasio orina 24h,mEq/L,377
LAB2834,"Cloro, orina 24 horas",mEq/L,378
LAB2838,SUBFRACCIONS VLDL,N.D.,4215
LAB2842,Excrecion calcio,mg/24h,379
LAB2844,Excreción magnesi,mg/24h,380
LAB2845,Excreción urinaria cobre,µg/24h,381
LAB2846,Excreción urinaria hierro,µg/24h,382
LAB2847,ZINC ORINA T,/24 h,4216
LAB2848,Excreción urinaria BUN,mg/24h,383
LAB2849,Creatinina orina 24h,mg/24h,384
LAB2850,Excreción urinaria de ácido úric,mg/24h,385
LAB2855,Alfa 1 microglobulina orina,mg/g creatinina,386
LAB2858,IgG orina,N.D.,387
LAB2864,"Glucosa, líquid cefalorraquidi",N.D.,388
LAB2865,"Proteïnes, líquid cefalorraqui",mg/dL,389
LAB2867,Tau glob. prot. % LCR,N.D.,390
LAB2869,Gamma glob. prot. % LCR,N.D.,391
LAB2870,Beta glob. prot.% LCR,%,392
LAB2871,Albúmina prot. % LCR,%,393
LAB2873,Alfa 1 glob prot LCR,%,394
LAB2875,LDH líquid cefalorraquidi,N.D.,395
LAB2878,Alfa 2 glob. prot. % LCR,%,396
LAB2885,Proteïnes líquid ascític,N.D.,397
LAB2886,"Glucosa, líquid ascític",N.D.,398
LAB2887,LDH líquid ascític,U/L,399
LAB2888,Amilasa líquido ascítico,U/L,400
LAB2895,Bilirrubina liquido ascitico,mg/dL,401
LAB2903,"Proteïnes, líquid pleural",N.D.,402
LAB2904,"Glucosa, líquid pleural",N.D.,403
LAB2905,LDH líquid pleural,N.D.,404
LAB2906,Fosfatasa alcalina líquido amnió,U/L,405
LAB2909,Gamma glutaril transferasa líq,N.D.,406
LAB2910,Amilasa líquido pleural,U/L,407
LAB2922,Alfa fetoproteina líquido amniót,ng/mL,408
LAB2967,Troponina I,N.D.,409
LAB2968,CKMB creatin quinasa MB mas,ng/mL,410
LAB2975,Composició càlcul renal,N.D.,4217
LAB2979,TAG 72,N.D.,411
LAB2990,Proteinas orina 24h,mg/24h,412
LAB2992,Oncoproteina HER-2 NEU serum,ng/mL,413
LAB2995,Proteinas orina reciente,mg/L,414
LAB2999,Temps de diuresi,N.D.,415
LAB2DL1,2DL1,N.D.,416
