drug_ref,drug_descr,atc_ref,atc_descr
65BC2C61F3CCC86EE1000000AC1601B0,(GIVLAARI),A16AX16,Givosiran
80F2336030796905E1000000AC160182,(GLATIRAMERO  GENERICO MYLAN),L03AX13,"Glatiramero, acetato de"
7AA7F961820A61A0E1000000AC1601AB,(GLYCOSADE),V06,NUTRIENTES GENERALES
8F2A9B6094CCB0FEE1000000AC1601B0,(HEMLIBRA),B02BX,Otros hemostaticos sistemicos
C6179B6094A5A6FEE1000000AC1601B0,(HEMLIBRA),B02BX,Otros hemostaticos sistemicos
FA0A9B6080A1A5FEE1000000AC1601B0,(HEMLIBRA),B02BX,Otros hemostaticos sistemicos
4BACC160D0AF772EE1000000AC1601AE,(HEPAXANE),B01AB05,Enoxaparina
F3E0C060C8B037D5E1000000AC1601AE,(HEPAXANE),B01AB05,Enoxaparina
41281A60886FE53BE1000000AC16013E,(IMBRUVICA),L01EL01,Ibrutinib
67301A60FF69497BE1000000AC16013E,(IMBRUVICA),L01EL01,Ibrutinib
6E441A6057704D45E1000000AC16013E,(IMBRUVICA),L01EL01,Ibrutinib
87601A608E6562A7E1000000AC16013E,(IMBRUVICA),L01EL01,Ibrutinib
5A4DB35FEEC03965E1000000AC16019D,(IMFINZI),L01XC,Anticuerpos monoclonales
054F3961C5EAA3CEE1000000AC160194,(ISOSOURCE ENERGY FIBRA 500 ML),V06,NUTRIENTES GENERALES
A1B0396134F18A95E1000000AC160194,(ISOSOURCE ENERGY NEUTRO 500 ML),V06,NUTRIENTES GENERALES
E8274563D929E5BAE1000000AC160194,(JYSELECA),L04AA,Inmunosupresores selectivos
1897E25F78BF2EA1E1000000AC16013E,(KENGREXAL),B01AC25,CANGRELOR
FF85BE62A4BFC1F2E1000000AC1601AB,(KEZVARA),L04AC14,SARILUMAB
FD226A62797329C3E1000000AC1601AE,(KKYRIZI),L04AC18,RISANKIZUMAB
04ECE25F8D15E15DE1000000AC16013E,(KREON),A09AA02,"Multienzimas (lipasa, proteasa, etc.)"
89EA0961DB439144E1000000AC160194,(KYNTHEUM),L04AC12,Brodalumab
4CE21A5F69D0AD17E1000000AC1601AE,(L-SERINA NUTRICIA),V06,NUTRIENTES GENERALES
08F5F061AF749433E1000000AC1601AE,(LAGEVRIO),,
1E54F95EE19DBAA7E1000000AC1601AE,(LATUDA),N05AE05,Lurasidona
EC53F95E16AC65D5E1000000AC1601AE,(LATUDA),N05AE05,Lurasidona
9B5391608B5548C1E1000000AC160182,(LORVIQUA),L01ED05,LORLATINIB
4EA51760EBDD5B23E1000000AC160182,(MAVENCLAD),L01BB04,Cladribina
7BD14861284ABF27E1000000AC1601AE,(MAYZENT),L04AA42,SIPONIMOD
AB504861BA36536CE1000000AC1601AE,(MAYZENT),L04AA42,SIPONIMOD
F84E4861BA36536CE1000000AC1601AE,(MAYZENT),L04AA42,SIPONIMOD
664CC15F1F0A6DE4E1000000AC160182,(MESNA ALTAN),V03AF01,Mesna
6AE4CC607863D9C9E1000000AC160182,(MOVYMIA),H05AA02,Teriparatida
7AA0A760E3987154E1000000AC16013E,(NUBEQA),L02BB06,Darolutamida
B6A55360E22AE1CDE1000000AC1601AE,(ODOMZO),L01XJ02,Sonidegib
397DD75EB88C4976E1000000AC160194,(ONPATTRO),N07XX12,PATISIRAN
739AE262157CEB5FE1000000AC16013E,(OZAWADE),N07XX11,Pitolisant
937CFE5E33FBD674E1000000AC16013E,(PECFENT),N02AB03,Fentanilo
1B832A63D7C4447DE1000000AC16019D,(PELGRAZ),L03AA13,Pegfilgrastim
1FBC615F47C75066E1000000AC1601AE,(PIFELTRO),J05AG06,DORAVIRINA
325EBB61CD18DD67E1000000AC1601AB,(PIQRAY),L01EM03,ALPELISIB
65C0BA61ABFA8B4AE1000000AC1601AB,(PIQRAY),L01EM03,ALPELISIB
FF56BB61CD18DD67E1000000AC1601AB,(PIQRAY),L01EM03,ALPELISIB
0F6B6861121B5EB6E1000000AC160182,(POLIVY),L01XC37,POLATUZUMAB
3A432C61B2B1CB52E1000000AC1601B0,(POTELIGEO),L01XC25,MOGAMULIZUMAB
40A7666191A897ABE1000000AC16019D,(PREVYMIS),J05AX18,LETERMOVIR
9915D85E1FB31645E1000000AC16013E,(PRIALT),N02BG08,Ziconotida
5E99E961FC482679E1000000AC1601AE,(PROTEINA VEGENAT MED),V06,NUTRIENTES GENERALES
D6FE115F7630632FE1000000AC160194,(PUNTUALSENNA),A06AB06,Glicosidos de sena
1B3F2A60E35EA6BAE1000000AC160194,(RAVICTI),A16AX,Productos varios para el tracto alimentario y el metabolismo
41CBF95EF3B5AF63E1000000AC1601AE,(REAGILA),N05AX15,Cariprazina
5695F95ED7BAB596E1000000AC1601AE,(REAGILA),N05AX15,Cariprazina
83B8F95E67C54C47E1000000AC1601AE,(REAGILA),N05AX15,Cariprazina
AD67ED6067DAC3A3E1000000AC1601AE,(REMSIMA),L04AB02,Infliximab
23883A61E5041715E1000000AC160194,(RESOURCE ESPESANTE CLEAR 250 G BOTE),V06,NUTRIENTES GENERALES
314E3961C0F352A3E1000000AC160194,(RESOURCE HP/HC 200 ML BRICK),V06,NUTRIENTES GENERALES
F70E5360C92CE93DE1000000AC1601AE,(RINVOQ),L04AA44,UPADACITINIB
94963E5FCA45B284E1000000AC16013E,(RUBRACA),L01XK03,Rucaparib
F1A12260AFFFE779E1000000AC160182,(RUBRACA),L01XK03,Rucaparib
56D2DD5E3CDF5FB7E1000000AC160194,(SANDIMMUN),L04AD01,Ciclosporina
45EED85E1ED7B885E1000000AC16013E,(SKYRIZI),L04AC18,RISANKIZUMAB
B88195626DE578F1E1000000AC1601AB,(SKYRIZI),L04AC18,RISANKIZUMAB
BA243360D6FDBB1DE1000000AC160182,(SPRAVATO),N06AX,Otros antidepresivos
BBED6D61BB8299C8E1000000AC16013E,(SUTIMLIMAB),L04AA55,SUTIMLIMAB
DDCBD75E4E8577CCE1000000AC160194,(TEGSEDI),N07XX12,PATISIRAN
59A354600075EA84E1000000AC16019D,(TREMFYA),L04AC16,GUSELKUMAB
89774E636695D1EFE1000000AC160182,(TREPULMIX),B01AC21,Treprostinilo
EBC94E6374A0B600E1000000AC160182,(TREPULMIX),B01AC21,Treprostinilo
F20BCD62F737BBFDE1000000AC16013E,(TRODELVY),L01FX17,SACITUZUMAB GOVITECAN
37995A5FD81FD117E1000000AC160194,(TUKYSA),L01EH03,TUCATINIB
2AE14D62D5A6E076E1000000AC160194,(TYSABRI),L04AA23,Natalizumab
0C74DF628D13EBBDE1000000AC1601AE,(ULTOMIRIS),L04AA43,RAVULIZUMAB
7FA0DF623003F1BDE1000000AC1601AE,(ULTOMIRIS),L04AA43,RAVULIZUMAB
19482260DAEE3E7FE1000000AC160182,(UREA NM),C03XW91,UREA
67834760B64126F2E1000000AC16013E,(VEKLURY),J05AB16,REMDESIVIR
4BD2B35FEEC03965E1000000AC16019D,(VEMLIDY),J05AF,Nucleosidos y nucleotidos inhibidores de la transcriptasa inversa
32270160B18B80D2E1000000AC1601AE,(VERZENIOS),L01EF03,Abemaciclib
8785FC612BDBEA2CE1000000AC1601AB,(VOLANESORSEN),C10AX,Otros agentes modificadores de los lipidos
64F0D05F63B77FC8E1000000AC160182,(VYNDAQEL),N07XX08,Tafamidis
08A1BD601BD38E56E1000000AC16013E,(WAKIX),N07XX11,Pitolisant
E404BD600FCBEA5CE1000000AC16013E,(WAKIX),N07XX11,Pitolisant
2FD6A862B33346D9E1000000AC1601AE,(WAYLIVRA),C10AX18,VOLANESORSEN
812F8A602D9872B1E1000000AC1601AE,(ZAMICASTAT),,
0537855F2AA354B6E1000000AC160194,(ZIRABEV),L01XC07,Bevacizumab
3F01C25E1B63FD2FE1000000AC1601AE,0,J02AA01,Amfotericina B
6A54B75F5AB0D950E1000000AC1601AE,0,B05BA91,Suero glucosado
7E5DB75F9EB8BE87E1000000AC1601AE,0,B05BB91,"Sodio cloruro, solucion parenteral"
80ADB75F27BD0576E1000000AC1601AE,0,B05BB91,"Sodio cloruro, solucion parenteral"
A96BB75F23C0AD8AE1000000AC1601AE,0,N01AH06,Remifentanilo
AC26265FD6D68E61E1000000AC1601AB,0,J05AG05,Rilpivirina
B6469C5F4D115BC6E1000000AC1601AE,0,,
B668B75F5DBD3CD5E1000000AC1601AE,0,B05BB91,"Sodio cloruro, solucion parenteral"
C8BCB75F27BD0576E1000000AC1601AE,0,B05BA91,Suero glucosado
EA6AB75F5DBD3CD5E1000000AC1601AE,0,B05BA91,Suero glucosado
716FBC61B2E44249E1000000AC160194,15 GLYTACTIN RTD LITE (MOCA),,
C2F3D759BB13FA71E1000000AC1601AB,"2-DESOXICITIDINA, 250 G POLVO",,
9BA1D759113A459EE1000000AC1601AB,"2-DESOXITIMIDINA, 250 G POLVO",,
EF6FBC61B2E44249E1000000AC160194,20 GLYTACTIN BUILD (NEUTRO),,
57ABCE47234AC01CE1000000AC100159,"3,4 DIAMINOPIRIDINA (FM), 10 MG CAPS",V30ZZ91,FORMULAS MAGISTRALES
6E328357557CCB7AE1000000AC10015A,"4-AMINOPIRIDINA, 5 MG CAPS (FM)",V30ZZ91,FORMULAS MAGISTRALES
F7C9EF56F2B9F62BE1000000AC10015A,"4-AMINOPIRIDINA, 5 MG CAPS (FM)",,
C20F05532CD19665E1000000AC100159,"5-AMINOLEVULÍNICO, ÁCIDO, TÓP, 78 MG/G GEL 2 G",,
BF6B5C461C27EF6FE1000000AC100155,"5-FLUOROURACILO, 50 MG/ML VIAL 5 ML",L01BC02,Fluorouracilo
4A7C5C468000801EE1000000AC100155,"6-MERCAPTOPURINA, 50 MG COMP",L01BB02,Mercaptopurina
8D415C461C27EF6FE1000000AC100155,"6-MERCAPTOPURINA, 50 MG COMP",L01BB02,Mercaptopurina
D82B5F4667F9C503E1000000AC100159,<DUMMY> NO USAR EN PREPARACIONES O PERFUSIONES,,
02D8A35551047E7DE1000000AC10015A,ABACAVIR,J05AF06,Abacavir
F8D7A35551047E7DE1000000AC10015A,ABACAVIR,J05AF06,Abacavir
061AA2559FE3097CE1000000AC10015A,ABACAVIR + LAMIVUDINA,J05AR02,Lamivudina y abacavir
88345C461C27EF6FE1000000AC100155,"ABACAVIR, 100 MG/5 ML SOL ORAL FRA 240 ML",J05AF06,Abacavir
DF765C461C27EF6FE1000000AC100155,"ABACAVIR, 100 MG/5 ML SOL ORAL FRA 240 ML",J05AF06,Abacavir
22345C461C27EF6FE1000000AC100155,"ABACAVIR, 300 MG COMP",J05AF06,Abacavir
87765C461C27EF6FE1000000AC100155,"ABACAVIR, 300 MG COMP",J05AF06,Abacavir
696B5C461C27EF6FE1000000AC100155,"ABACAVIR/LAMIVUDINA 600/300, MG COMP",J05AR02,Lamivudina y abacavir
58D45B4692DF7E1EE1000000AC100155,"ABACAVIR/LAMIVUDINA, 300 MG COMP",J05AF93,Abacavir+lamivudina
7D72E44B610C1243E1000000AC10014C,"ABATACEPT (SIN CARGO), 250 MG VIAL",L04AA24,Abatacept
056144627E272842E1000000AC16013E,"ABATACEPT, 125 MG PLUMA PREC",L04AA24,Abatacept
503A54521E79655DE1000000AC100158,"ABATACEPT, 125 MG/1 ML JER PREC",L04AA24,Abatacept
BD44F347F764C01CE1000000AC100159,"ABATACEPT, 250 MG VIAL",L04AA24,Abatacept
7776EF4ACBE75B2DE1000000AC10014C,ABCIXIMAB 9 MG + SF / 250 ML,B05BB91,"Sodio cloruro, solucion parenteral"
44BF0A4AC88CFC02E1000000AC100151,ABCIXIMAB 9 MG + SG5% / 250 ML,B01AC13,Abciximab
3C645C461C27EF6FE1000000AC100155,"ABCIXIMAB, 10 MG/5 ML VIAL 5 ML",B01AC13,Abciximab
2CE9055E15C486CAE1000000AC1601AB,"ABEMACICLIB, 150 MG COMP",L01XE50,ABEMACICLIB
F792E05FFE8E7016E1000000AC16013F,ABEZEN 1G 20 COMPRIMIDOS RECUBIERTOS CON PELICULA,N02BE01,Paracetamol
B0DEA95FF65A204DE1000000AC16013F,ABIK 30MG 28 COMPRIMIDOS EFG,N05AX12,Aripiprazol
F856E05EC898AF7FE1000000AC16013E,ABILIFY 10MG 28 COMPRIMIDOS,N05AX12,Aripiprazol
9969A7622E33BBEBE1000000AC1601AB,ABILIFY 10MG 28 COMPRIMIDOS BUCODISPERSABLES,N05AX12,Aripiprazol
0657E05EC898AF7FE1000000AC16013E,ABILIFY 15MG 28 COMPRIMIDOS,N05AX12,Aripiprazol
09811863E17428C2E1000000AC16019D,ABILIFY 15MG 28 COMPRIMIDOS BUCODISPERSABLES,N05AX12,Aripiprazol
7363B961EED40A1EE1000000AC16013E,ABILIFY 30MG 28 COMPRIMIDOS,N05AX12,Aripiprazol
3B0AA15577DAFF1BE1000000AC10015A,ABIRATERONA,L02BX03,Abiraterona
7265015A1058E982E1000000AC16019D,abiraterona,L02BX03,Abiraterona
1E9A924DF916DF54E1000000AC10015A,"ABIRATERONA, 250 MG COMP",L02BX03,Abiraterona
62008E50635C6D44E1000000AC10014C,"ABIRATERONA, 250 MG COMP",,
CE00225967AA53EFE1000000AC1601AE,"ABIRATERONA, 500 MG COMP",L02BX03,Abiraterona
404D5B466A54183FE1000000AC100155,"ABRASONE, 50 G CREM",,
0387D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
05DAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
0700D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
0BD8D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
0BDDD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
0E1ED356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
0F87D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
11DAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
17DDD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
1A1DD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
1A1ED356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
20D7D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
24D3D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
261DD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
261ED356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
2F76D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
30D3D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
3B87D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
3D78D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
4577D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
45D5D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
4AAAD456A65A4A7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
4BEAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
5177D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
51D5D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
5578D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
57EAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
6178D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
63EAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
6977D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
6FEAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
71DDD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
75E8D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
7900D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
7C1DD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
7EF7D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
81E1D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
84D9D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
881DD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
8BCFD456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
8BF7D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
8C7DD4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
8EA8D456A65A4A7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
9404D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
97F7D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
9F83D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
A004D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
A1D4D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
A61CD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
AB19D356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
B2FCD456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
B470D45680114E7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
BEFCD456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
C069D45680114E7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
C6DAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
CA84D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
CAFCD456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
D26BD45680114E7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
D2DAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
D3C6D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
D6FCD456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
D780D4562371F173E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
DBDCD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
DE6BD45680114E7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
DEDAD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
DFC6D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
E302D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
E7DCD4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
ECD2D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
EF02D456582B8266E1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
F61DD356DB4C477BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
F855D45680114E7BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
F8D2D456871A487BE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
F9D9D4561F3D4D5DE1000000AC10015B,ABSORB INC ORINA DIA ANAT,,
