surgery_code,surgery_code_descr
Q00080,excisio de diverticle de zencker | excisio de diverticle de zencker
Q00081,faringectomia parcial
Q00082,correccio d atresia nasofaringia | correccio d atresia nasofaringia
Q00083,alliberament d adherencies peritoneals | alliberament d adherencies peritoneals
Q00084,microcirugia de laringe | microcirurgia de laringe
Q00085,laringuectomia parcial endoscopica con laser | laringectomia parcial endoscopica amb laser | laringectomia parcial endoscopica amb laser
Q00086,laringectomia parcial oberta | laringectomia parcial oberta
Q00087,laringectomia total
Q00088,medialitzacio de corda vocal | medialitzacio de corda vocal
Q00089,traqueostomia transitoria | traqueostomia transitoria | traqueostomia transitoria
Q00090,reparacio de fractura de laringe | reparacio de fractura de laringe
Q00091,revisio de traqueostomia per hemorragia | revisio de traqueostomia per hemorragia
Q00092,reseccio d anastomosi traqueal | reseccio d anastomosi traqueal
Q00093,alliberament d adherencies de laringe | alliberament d adherencies de laringe
Q00094,broncoscopia rigida + protesi bronquial | broncoscopia rigida + implantacio de protesi bronquial
Q00095,broncoscopia rigida + protesi bronquial+ biopsia bronquial | broncoscopia rigida + implantacio de protesi bronquial + biopsia bronquial
Q00096,dilatacio d estenosi de laringe | dilatacio d estenosi de laringe
Q00097,implantacio de protesi traqueal de montgomery | implantacio de protesi traqueal de montgomery
Q00098,broncoscopia rigida + fotoreseccio amb laser | broncoscopia rigida + fotoreseccio amb laser
Q00099,broncoscopia rigida + fotoreseccio amb laser + biopsia bronquial | broncoscopia rigida + fotoreseccio amb laser + biopsia bronquial
Q00100,excisio de bul.les + abrasio pleurl  (per vtc) | excisio de bul.les + abrasio pleural (per vtc)
Q00101,excisio de bul.les + abrasio pleural | excisio de bul.les + abrasio pleural
Q00102,excisio de bul.les d emfisema pulmonar | excisio de bul.les d emfisema pulmonar
Q00103,excisio de bu.les d efisema pulmonar (per vtc) | excisio de bul.les d emfisema pulmonar (per vtc)
Q00104,reduccio de volum pulmonar bilateral (per vtc) | reduccio de volum pulmonar bilateral (per vtc)
Q00105,reduccio de volum pulmonar unilateral (per vtc) | reduccio de volum pulmonar unilateral (per vtc)
Q00107,reduccio de volum pulmonar bilateral (per toracotomia) | reduccio de volum pulmonar bilateral (per toracotomia)
Q00108,reduccio de volum pulmonar unilateral (per toracotomia) | reduccio de volum pulmonar unilateral (per toracotomia)
Q00109,segmentectomia pulmonar unilateral  (per vtc) | segmentectomia pulmonar unilateral (pervtc)
Q00110,segmentectomia pulmonar atipica | segmentectomia pulmonar atipica
Q00111,segmentectomia pulmonar unilateral tipica | segmentectomia pulmonar unilateral tipica
Q00112,segmentectomia pulmonar bilateral (per esternotomia transversa) | segmentectomia pulmonar bilateral (per esternotomia transversa)
Q00113,segmentectomia pulmonar bilateral (per esternotomia) | segmentectomia pulmonar bilateral (per esternotomia)
Q00114,segmentectomia pulmonar bilateral (per toracotomia)
Q00115,bilobectomia pulmonar de lm+lid (assistida per vtc) | bilobectomia pulmonar de lm+lid (assistida per vtc)
Q00116,bilobectomia pulmonar de lsd+lm (assistida per vtc) | bilobectomia pulmonar de lsd+lm (assistida per vtc)
Q00117,lobectomia pulmonar (asistida por vtc) | lobectomia pulmonar (assistida per vtc) | lobectomia pulmonar  (assistida per  vtc)
Q00118,lobectomia pulmonar de lid (assistida per vtc) | lobectomia pulmonar de lid (assistida per vtc)
Q00119,lobectomia pulmonar de lie (assistida per vtc)
Q00120,lobectomia pulmonar de lm (assistida per vtc) | lobectomia pulmonar de lm (assistida per vtc)
Q00121,lobectomia pulmonar de lsd (assistida per  vtc) | lobectomia pulmonar de lsd (assistida per vtc)
Q00122,lobectomia pulmonar de lsel (assistida per vtc) | lobectomia pulmonar de lse (assistida per vtc)
Q00123,bilobectomia pulmonar de lm+lid
Q00124,bilobectomia pulmonar de lsd+lm | bilobectomia pulmonar de lsd+lm
Q00125,lobectomia pulmonar
Q00126,lobectomia pulmonar de lid
Q00127,lobectomia pulmonar de lie
Q00128,lobectomia pulmonar de | lobectomia pulmonar de lm
Q00129,lobectomia pulmonar de lsd
Q00130,lobectomia pulmonar de lse
Q00131,pneumonectomia dreta
Q00132,pneumonectomia esquerra
Q00133,pneumonectomia dreta de totalitzacio pulmonar | pneumonectomia dreta de totalitzacio pulmonar
Q00134,pneumonectomia esquerra de totalitzaciopulmonar | pneumonectomia esquerra de totalitzaciopulmonar
Q00135,broncoscopia rigida | broncoscopia rigida
Q00136,broncoscopia rigida + biopsia bronquial | broncoscopia rigida + biopsia bronquial
Q00137,biopsia pulmonar (per vtc) | biopsia pulmonar (per vtc)
Q00138,biopsia pulmonar (per toracotomia) | biopsia pulmonar (per toracotomia)
Q00139,broncoplastia | broncoplastia
Q00140,toracotomia aerostatica | toracotomia aerostatica
Q00141,toracotomia diagnostica | toracotomia diagnostica
Q00142,toracotomia hemostatica | toracotomia hemostatica
Q00143,drenatge pleural | drenatge pleural
Q00144,desbridament d empiema pleural  (per vtc) | desbridament d empiema pleural (per vtc)
Q00145,toracostomia (finestra toracica) | toracostomia (finestra toracica)
Q00146,desbridament d empiema pleural | desbridament d empiema pleural
Q00147,mediastinotomia anterior diagnostica | mediastinotomia anterior diagnostica
Q00148,toracoscopia diagnostica | toracoscopia diagnostica | toracoscopia diagnostica
Q00149,mediastinoscopia diagnostica | mediastinoscopia diagnostica
Q00150,mediastinoscopia per a estadiatge | mediastinoscopia per a estadiatge
Q00151,biopsia de paret toracica per malformacions | biopsia de paret toracica per malformacions
Q00152,biopsia de paret toracica per tumor | biopsia de paret toracica per tumor
Q00153,biopsia pleural (per vtc) <sense intubacio> | biopsia pleural (per vtc) <sense intubacio>
Q00154,biopsia pleural (per vtc) <intubacio endotraqueal> | biopsia pleural (per vtc) <intubacio endotraqueal>
Q00155,biopsia pleural (per vtc) <intubacio selectiva> | biopsia pleural (per vtc) <intubacio selectiva>
Q00156,reseccio de tumor de mediasti  (per vtc) | reseccio de tumor de mediasti (per vtc)
Q00157,reseccion tumor de mediastino | reseccio de tumor de mediasti | reseccio de tumor de mediasti
Q00158,reseccio de paret toracica | reseccio de paret toracica
Q00159,decorticacio pleural | decorticacio pleural
Q00160,escarificacio pleural (per vtc) | escarificacio pleural (per vtc)
Q00161,escarificacio pleural | escarificacio pleural
Q00162,tancament esternal
Q00163,toracoplastia o toracomioplastia | toracoplastia o toracomioplastia
Q00164,biopsia pleural i talcatge (per vtc) <sense intubacio> | biopsia pleural i talcatge (per vtc) <sense intubacio>
Q00165,talcatge pleural (per vtc) <sense intubacio> | talcatge pleural (per vtc) <sense intubacio>
Q00166,biopsoia pleural i talcatge (per vtc) <iintubacio endotraqueall> | biopsia pleural i talcatge (per vtc) <intubacio endotraqueal>
Q00167,talcatge pleural (per vtc)<intubacio endotraqueal> | talcatge pleural (per vtc) <intubacio endotraqueal>
Q00168,biopsia pleural i talcatge (per vtc) <intubacio selectiva> | biopsia pleural i talcatge (per vtc) <intubacio selectiva>
Q00169,talcatge pelural (per vtc)  <intubacio selectiva> | talcatge pleural (per vtc) <intubacio selectiva>
Q00170,reseccio cuneiforme d ovari | reseccio cuneiforme d ovari
Q00171,comissurotomia de valvula mitral (oberta) | comissurotomia de valvula mitral (oberta)
Q00172,comissurotomia de valvula tricuspide (oberta) | comissurotomia de valvula tricuspide (oberta)
Q00173,substitucion de valvula aortica | reemplacament de valvula aortica amb autoempelt [ross] | reemplacament de valvula aortica
Q00174,reemplacament de valvula aortica amb homoempelt | reemplacament de valvula aortica amb homoempelt
Q00175,reemplacament de valvula aortica amb protesi biologica | reemplacament de valvula aortica amb protesi biologica
Q00176,reemplacament de valvula aortica + empelt biol d arrel d aorta [bentall] | reemplacament de valvula aortica + empelt biologic d arrel d aorta [bentall]
Q00177,sustitucion valvula mitral | reemplacament de valvula mitral amb protesi biologica | reemplacament de valvula mitral
Q00178,reemplacament de la valvula mitral amb protesi mecanica | reemplacament de valvula mitral amb protesi mecanica
Q00179,reemplacament de valvula aortica + empeit sint d arrel d aorta [bentall] | reemplacament de valvula aortica + empelt sintetic d arrel d aorta [bentall]
Q00180,reemplacament de valvula pulmonar | reemplacament de valvula pulmonar amb empelt biologic
Q00181,reemplacament de valvula tricuspide ambhomoempelt | reemplacament de valvula tricuspide ambhomoempelt
Q00182,reemplacament de valvula tricuspide ambprotesi biologica | reemplacament de valvula tricuspide ambprotesi biologica
Q00183,reparacio d aneurisma de si de valsalva | reparacio d aneurisma de si de valsalva
Q00184,tancament de civ amb empelt sintetic | tancament de civ amb empelt sintetic
Q00185,cierre de cia | tancament de cia
Q00186,derivacio coronaria | derivacio aorto-coronaria amb arteria radial: dues o mes coronaries
Q00187,tancament de civ
Q00188,derivacio aorto-coronaria amb safena: una coronaria | derivacio aorto-coronaria amb safena: una coronaria
Q00189,derivacio aorto-coronaria amb safena: dues coronaries | derivacio aorto-coronaria amb safena: dues coronaries
Q00190,derivacio aorto-coronaria amb safena  tres coronaries | derivacio aorto-coronaria amb safena: tres coronaries
Q00191,derivacio aorto-coronaria amb safena: quatre o mes coronaries | derivacio aorto-coronaria amb safena: quatre o mes coronaries
Q00192,derivacio mamario-coronaria: una coronaria | derivacio mamario-coronaria: una coronaria
Q00193,derivacio mamario-coronaria dues coronaries | derivacio mamario-coronaria: dues coronaries
Q00195,derivacio aorto-coronaria amb arteria radial: una coronaria | derivacio aorto-coronaria amb arteria radial: una coronaria
Q00196,reparacio de fistula coronaria | reparacio de fistula coronaria
Q00197,reseccio cuneiforme d ovari (laparoscopia) | reseccio cuneiforme d ovari (per laparoscopia)
Q00198,pericardiectomia | pericardiotomia | pericardiotomia
Q00199,pericardiectomia (finestra pericardica) | pericardiectomia (finestra pericardica)
Q00200,reparacion de aneurisma ventricular | reparacio d aneurisma ventricular | reparacio d aneurisma ventricular
Q00201,reseccio de tumor cardiac | reseccio de tumor cardiac
Q00202,reseccio de tumor cardiac [heart-port] | reseccio de tumor cardiac [tecnica de heart-port]
Q00203,reparacio de ferida cardiaca | reparacio de ferida cardiaca [sense cec]
Q00204,reparacio de ferida cardiaca [amb cec] | reparacio de ferida cardiaca [amb cec]
Q00205,reparacio de ruptura de paret ventricular | reparacio de ruptura de paret ventricular
Q00206,trasplantament de cor
Q00207,implantacio de sistema d assistencia circulatoria | implantacio de sistema d assistencia circulatoria
Q00208,revisio de sistema d assistencia circulatoria | revisio de sistema d assistencia circulatoria
Q00209,extraccio de sistema d assistencia circulatoria | extraccio de sistema d assistencia circulatoria
Q00210,implantacio d electrode ventricular | implantacio d electrode ventricular <local>
Q00211,implantacio d electrode auricular i ventricular <local> | implantacio d electrode auricular i ventricular <local>
Q00212,implantacio d electrode auricular | implantacio d electrode auricular <local>
Q00213,canvi d electrode epicardic per toracotomia | canvi d electrode epicardic per toracotomia
Q00214,implantacio d electrode epicardic per toracotomia | implantacio d electrode epicardic per toracotomia
Q00215,revisio o recol.locacio d electrode de marcapas /dai | revisio o recol.locacio d electrode de marcapas <local>
Q00216,canvi d electrode de marcapas auricularo ventricular <local> | canvi d electrode auricular o ventricular <local>
Q00217,retirada d electrode de marcapas/dai | retirada d electrode de marcapas <local>
Q00218,retirada d electrode de marcapas per infeccio <local> | retirada d electrode de marcapas per infeccio <local>
Q00219,col.locacio de marcapas temporal <local> | col.locacio de marcapas temporal <local>
Q00220,revisio de ferida o bossa de marcapas/dai | revisio de ferida o bossa de marcapas <local>
Q00221,implantacio de marcapas vvi <local> | implantacio de marcapas vvi <local>
Q00222,implantacio de marcapas vvir <local> | implantacio de marcapas vvir <local>
Q00223,implantacio de marcapas ddd/vdd <local> | implantacio de marcapas ddd/vdd <local>
Q00224,canvi de generador de marcapas vvi <local> | canvi de generador de marcapas vvi <local>
Q00225,canvi de generador de marcapas vvir <local> | canvi de generador de marcapas vvir <local>
Q00226,canvi de generador de marcapas ddd/vdd <local> | canvi de generador de marcapas ddd/vdd <local>
Q00227,retirada de generador de marcapas/dai | revisio o retirada de generador de marcapas <local>
Q00228,implantacio de desfibril.lador automatic (dai) <local> | implantacio de desfibril.lador automatic (dai) <local>
Q00229,implantacio de desfibril.lador automatic (dai) | implantacio de desfibril.lador automatic (dai)
Q00230,implantacio d electrode de dai | implantacio d electrode de desfibril.lador automatic (dai) <local>
Q00231,implant de generador de marcapas/dai | implantacio de generador de desfibril.lador automatic (dai) <local>
Q00232,canvi d electrode de desfibril.lador automatic (dai) <local> | canvi d electrode de desfibril.lador automatic (dai) <local>
Q00233,canvi de generador de desfibril.lador automatic (dai) <local> | canvi de generador de desfibril.lador automatic (dai) <local>
Q00234,canvi de generador de desfibril.lador automatic (dai) | canvi de generador de desfibril.lador automatic (dai)
Q00235,embolectomia d extremitat superior
Q00236,embolectomia aorto-iliaca | embolectomia aorto-iliaca
Q00237,embolectomia pulmonar | embolectomia pulmonar
Q00239,endarterectomia carotidea | endarterectomia carotidia | endarterectomia carotidia
Q00240,endarterectomia pulmonar
Q00241,reparacio d aneurisma de carotide | reparacio d aneurisma de carotide
Q00242,reparacio d aneurisma d extremitat superior | reparacio d aneurisma d extremitat superior
Q00243,reparacio d aneurisma d aorta abdominal | reparacio d aneurisma d aorta abdominal
Q00244,reparacio d aorta ascendent amb homoempelt | reparacio d aorta ascendent amb homoempelt
Q00245,reparacion aorta ascendente | reparacio d aorta ascendent amb protesi | reparacio d aorta ascendent
Q00246,reparacio d aorta descendent | reparacio d aorta descendent
Q00247,reparacio d aorta toraco-abdominal | reparacio d aorta toraco-abdominal
Q00248,reparacio de l arc aortic | reparacio de l arc aortic
Q00249,reparacio de troncs supraaortics | reparacio de troncs supraaortics
Q00250,reparacio d aneurisma d iliaca | reparacio d aneurisma d iliaca
Q00251,reparacio d aneurisma visceral | reparacio d aneurisma visceral
Q00252,reparacio d aneurisma de femoral | reparacio d aneurisma de femoral
Q00253,reparacio d aneurisma de poplitia | reparacio d aneurisma de poplitia
Q00254,flebectomia d extremitat inferior tipusmuller
Q00255,fleboesclerosis quirurgica (feq-local) | fleboextraccio de safena interna
Q00256,lligadura i exquincament de varius d extremitat inferior (anestesia) | lligadura i esquincament de varices d extremitat inferior
Q00257,reseccion de paquetes varicoso de extremidad inferior | reseccio de paquets varicosos d extremitat inferior | reseccio de paquets varicoso d extremitat inferior
Q00258,derivacio carotido-subclavia | derivacio carotido-subclavia
Q00259,derivacio aorto-renal | derivacio aorto-renal
Q00260,derivacio iliaco-femoral | derivacio iliaco-femoral
Q00262,derivacio aorto-femoral | derivacio aorto-femoral
Q00263,derivacio aorto-iliaca | derivacio aorto-iliaca
Q00264,derivacio aorto-mesenterica | derivacio aorto-mesenterica
Q00265,derivacio aorto-bifemoral | derivacio aorto-bifemoral
Q00266,arterio-venostomia per a dialisi (favi)<local> | arterio-venostomia per a dialisi (favi)<local>
Q00267,arterio-venostomia per a dialisi (favi)al carp <local> | arterio-venostomia per a dialisi (favi)al carp <local>
Q00268,arterio-venostomia per a dialisi (favi)al colze <local> | arterio-venostomia per a dialisi (favi)al colze <local>
Q00269,arterio-venostomia per a dialisi (favi)amb anestesia | arterio-venostomia per a dialisi (favi)
Q00270,arterio-venostomia per a dialisi (favi)al carp | arterio-venostomia per a dialisi (favi)al carp
Q00271,arterio-venostomia per a dialisi (favi)al colze | arterio-venostomia per a dialisi (favi)al colze
Q00272,derivacio femoro-distal | derivacio femoro-distal
Q00273,derivacio femoro-femoral | derivacio femoro-femoral
Q00274,derivacio femoro-poplitia distal (3a porcio) | derivacio femoro-poplitia distal (3a porcio)
Q00275,derivacio femoro-poplitia proximal  (1aporcio) | derivacio femoro-poplitia proximal (1a porcio)
Q00276,derivacio axil.lo-bifemoral | derivacio axil.lo-bifemoral
Q00277,derivacio axilo-femoral | derivacio axil.lo-femoral
Q00278,revisio d arterio-venostomia per a dialisi (favi) <local> | revisio d arterio-venostomia per a dialisi (favi) <local>
Q00279,revisio d arterio-venostomia per a dialisi (favi) | revisio d arterio-venostomia per a dialisi (favi)
Q00280,tancament d arterio-venostomia per a dialisi (favi) <local> | tancament d arterio-venostomia per a dialisi (favi) <local>
Q00281,tancament d arterio-venostomia per a dialisi (favi) | tancament d arterio-venostomia per a dialisi (favi)
Q00282,angioplastia (atp) de femoral o femoro-poplitia | angioplastia transluminal percutania (atp) de femoral
Q00283,angiopastia ( atp ) de poplitia y troncos distales | angioplastia transluminal percutania (atp) de poplitia | angioplastia (atp) de poplitia i troncsdistals
Q00284,angioplastia (atp) de subclavia | angioplastia transluminal percutania (atp) de subclavia
Q00285,angioplastia (atp) de iliaca | angioplastia transluminal percutania (atp) d iliaca | angioplastia (atp) d iliaca
Q00286,angioplastia (atp) de carotida | angioplastia transluminal percutania (atp) de carotide
Q00287,profundoplastia | profundoplastia
Q00288,reparacio arterial de coll | reparacio arterial de coll
Q00289,reparacio arterial d extremitat inferior | reparacio arterial d extremitat inferior
Q00290,reparacio arterial d extremitat superior | reparacio arterial d extremitat superior
Q00291,reparacio arterial d abdomen | reparacio arterial d abdomen
Q00292,reparacio arterial de torax | reparacio arterial de torax
Q00293,reparacio de coartacio d aorta | reparacio de coartacio d aorta
Q00294,reparacio de malformacio vascular cerebral (per craniotomia) | reparacio de malformacio vascular cerebral (per craniotomia)
Q00295,reparacio d aneurisma d iliaca amb endoprotesi | reparacio d aneurisma d iliaca amb endoprotesi
Q00296,reparacion de aneurisma de aorta abdominal con endoprotesi | reparacio d aneurisma d aorta abdominalamb endoprotesi | reparacio d aneurisma d aorta abdominalamb endoprotesi
Q00297,reparacion de aneurisma de aorta toracica con endoprotesis | reparacio d aneurisma d aorta toracica amb endoprotesi | reparacio d aneurisma d aorta toracia amb endoprotesi
Q00298,excision de ganglio limfatico : cervical | excisio de gangli limfatic cervical | excisio de gangli limfatic: cervical
Q00299,limfadenectomia radical cervical unilateral
Q00300,limfadectomia radical cervical bilateral | limfadenectomia  radical cervical bilateral
Q00301,lligadura de conducte toracic | lligadura de conducte toracic
Q00302,esofagoscopia | esofagoscopia
Q00303,dilatacio d esofag | dilatacio d esofag
Q00304,mandibulectomia parcial (hemimandibulectomia)
Q00305,recanvi generador dbs per trastorns delmoviment | canvi de generador de marcapas per parkinson <local>
Q00306,canvi de generador de marcapas per parkinson | canvi de generador de marcapas per parkinson
Q00307,segundo tiempo implantacion dbs | implantacio de generador de marcapas per parkinson | segon temps implantacio dbs
Q00308,microdiscectomia lumbar
Q00309,microdiscectomia dorsal (per toracotomia)
Q00310,microdiscectomia cervical +artrodesi (via anterior) | microdiscectomia cervical + artrodesi (via anterior)
Q00311,artrodesis lumbar | artrodesi lumbar | artrodesi lumbar
Q00312,amputacio de dits de la ma <local> | amputacio de dits de la ma <local>
Q00313,amputacion dedos de la mano | amputacio de dits de la ma | amputacio de dits de la ma
Q00314,amputacio de la ma | amputacio de la ma
Q00315,amputacio de l avantbrac (cubit i radi) | amputacio de l avantbrac (cubit i radi)
Q00316,amputacio d extremitat superior | amputacio del brac (humer)
Q00317,amputacio de dits del peu <local> | amputacio de dits del peu <local>
Q00318,amputacio de dits del peu | amputacio de dits del peu
Q00319,amputacio transmetarsiana | amputacio transmetatarsiana
Q00320,amputacio infracondilia de la cama | amputacio infracondilia de la cama
Q00321,amputacio supracondilia de la cama | amputacio supracondilia de la cama
Q00324,reparacio plastica de coll amb empelt pediculat de pectoral | reparacio plastica de coll amb empelt pediculat de pectoral
Q00325,dilatacio de conducte fronto-nasal ( infundibulectomia) | dilatacio de conducte fronto-nasal (infundibulectomia)
Q00326,extraccio de cos estrany d esofag | extraccio de cos estrany d esofag
Q00327,extraccio de cos estrany orella | extraccio de cos estrany d orella
Q00328,extraccio de cos extrany de nas | extraccio de cos estrany de nas
Q00329,extraccio de cos estrany de laringe | extraccio de cos estrany de laringe
Q00330,excisio de quist d ovari (laparoscopia) | excisio de quist d ovari (laparoscopia)
Q00331,excisio de quist d ovari (laparotomia) | excisio de quist d ovari
Q00332,oforectomia unilateral (laparoscopia) | ooforectomia unilateral (per laparoscopia)
Q00333,ooforectomia unilateral (laparotomia) | ooforectomia unilateral
Q00334,annexectomia unilateral (laparoscopia) | annexectomia unilateral (laparoscopia) | annexectomia unilateral (laparoscopia)
Q00335,annexectomia unilateral (laparotomia) | annexectomia unilateral
Q00336,ooforectomia bilateral (laparotomia) | ooforectomia bilateral
Q00337,ooforectomia bilateral (laparoscopia) | ooforectomia bilateral (per laparoscopia)
Q00338,annexectomia bilateral (laparotomia) | annexectomia bilateral
Q00339,annexectomia bilateral (laparoscopia) | annexectomia bilateral (laparoscopia)
Q00340,oclusio tubaria bilateral (laparoscopia)
Q00341,salpingectomia unilateral | salpingectomia unilateral
Q00342,salpingectomia unilateral (laparoscopia) | salpingectomia unilateral (laparoscopia)
Q00343,salpingectomia bilateral | salpingectomia bilateral
Q00344,salpingectomia bilateral (laparoscopia) | salpingectomia bilateral (laparoscopia)
Q00345,annexectomia bilateral (vaginal) | annexectomia unilateral amb extirpacio d embaras ectopic
Q00346,annexectomia unilateral amb extiroacio d embaras ectopic (laparoscopia) | annexectomia unilateral amb extirpacio d embaras ectopic (per laparoscopia)
Q00347,salpingectomia unilateral amb extirpacio d embaras ectopic | salpingectomia unilateral amb extirpacio d embaras ectopic
Q00348,salpingectomia unilateral amb extirpacio d embaras ectopic (laparoscopia) | salpingectomia unilateral amb extirpacio d embaras ectopic (per laparoscopia)
Q00350,plastia tubaria (laparoscopia) | plastia tubaria (per laparoscopia)
Q00351,histeroscopia diagnostica | histeroscopia diagnostica
Q00352,seccio de septe uteri (histeroscopia)
Q00353,ablacio endometrial (histeroscopia) | ablacio endometrial (per histeroscopia)
Q00354,polipectomia histeroscopia | excisio de polip uteri (histeroscopia)
Q00355,miomectomia uterina | miomectomia uterina
Q00356,miomectomia histeroscopia | miomectomia uterina (histeroscopia)
Q00357,miomectomia uterina  (laparoscopia) | miomectomia uterina (laparoscopia)
Q00358,histerectomia subtotal (laparotomia) | histerectomia abdominal subtotal
Q00359,histerectomia total (laparotomia) | histerectomia abd total
Q00360,histerectomia abd total + annexectomia bilateral | histerectomia abd total + annexectomia bilateral
