ou_med_ref,ou_med_descr
BCVS,N.D.
BDER,"DERMATOLOGIA BCL
"
BDIT,"DIETÉTICA BCL
"
BEND,"ENDOCRINOLOGIA BCL
"
BEST,N.D.
BFIR,"FECUNDACIÓ IN VITRO BCL
"
BGAS,"GASTROENTEROLOGIA BCL
"
BGIN,"GINECOLOGIA BCL
"
BHBP,"CIR. HEP. I BILIO-PANCR. BCL
"
BHCE,N.D.
BHEM,"HEMATOLOGIA BCL
"
BHEPT,"HEPATOLOGIA BCL
"
BINF,"MALALTIES INFECCIOSES BCL
"
BLQ,"BLOQUEIG BO
"
BMAS,"MAL. AUTOIMM. I SISTEM. BCL
"
BMDI,"MEDICINA INTERNA BCL
"
BMNC,N.D.
BNEF,"NEFROLOGIA BCL
"
BNMO,"PNEUMOLOGIA BCL
"
BNRC,"NEUROCIRURGIA BCL
"
BNRL,"NEUROLOGIA BCL
"
BOBS,"OBSTETRÍCIA BCL
"
BODON,"ODONTOLOGÍA
"
BOFT,"OFTALMOLOGIA BCL
"
BONC,"ONCOLOGIA MEDICA BCL
"
BORL,"OTORRINOLARINGOLOGIA BCL
"
BPED,N.D.
BPIJ,N.D.
BPPS,"PSICOLOGIA BCL
"
BPSI,"PSIQUIATRIA BCL
"
BQUI,N.D.
BRDT,N.D.
BREH,N.D.
BRMT,"REUMATOLOGIA BCL
"
BSINT,"SALUT INTERNACIONAL BCL
"
BUME,N.D.
BURO,"UROLOGIA BCL
"
BUTR,N.D.
CAR,"CARDIOLOGIA
"
CCEE,"UNITAT CENTRAL CCEE
"
CCR,"MALALTIES DEL COLON I RECTE X
"
CCV,"CIRURGIA CARDIOVASCULAR
"
CDBGR,"CDB GENERAL
"
CGD,CIRURGIA GENERAL i DIGESTIVA
CGI,"CIRURGIA GASTRO-INTESTINAL
"
CHT,"CIR. HEPAT. I TRASPLANT.
"
CIP,"CIRURGIA PLÁSTICA
"
CIR,"CIRURGIA GENERAL
"
CMF,"CIRURGIA MAXIL·LO FACIAL
"
COG,"CIRURGIA ORTOPEDICA DE GENOLL
"
COM,"CIRURGIA ORTOPÉDICA DE MALUC
"
CON,"CONFINATS
"
CORBM,"BM - GENERAL
"
CORE,"ÁREA OPERATIVA CORE
"
COT,"CIRURGIA ORTOP. I TRAUMATOL.
"
COV,"UNITAT CONVALESCENCIA
"
CTA,"COORD. TRASPLANT.
"
CTR,"CIRURGIA TORACICA
"
CVS,SERV.ANGIOLOGIA I CIR.VASCULAR
DCT,"DONOR CENTER TEIXITS
"
DER,"DERMATOLOGIA
"
DIT,"DIETÉTICA
"
DLC,"ACTIVITAT PERSONAL DE LA CASA
"
E1415,"EAP PASSIR MANSO
"
E1417,"EAP PASSIR SANTS
"
E1418,"EAP PASSIR LES CORTS
"
E1419,"EAP PASSIR SARRIA-S.GERV
"
E2864,"EAP MUTUAM ESQUERRA
"
E3534,"RAE 4C H CLINIC
"
E4573,"RAE H.CLINIC
"
E5132,"EAP LA MARINA
"
E5825,"EAP PED ADRIÁ
"
E5826,"EAP PEDIATRIA LA MARINA
"
E5915,"ASSIR LES CORTS
"
E6164,"EAP PEDIATRIA SANTS-NUMÁNCIA
"
E6308,"EAP PED MONNEGRE
"
E7703,"LINIA PEDIATRICA ROSSELLÓ/CASA
"
E8208,"EAP SANTS-BADAL
"
END,"ENDOCRINOLOGIA
"
EP004,"EAP LES CORTS-HELIOS
"
EP444,"EAP SAN ANTONI
"
EP445,"EAP VIA ROMA
"
EP447,"EAP DOCTOR CARLES RIBA
"
EP460,"EAP COMPTE BORRELL
"
EP461,"EAP UNIVERSITAT
"
EP462,"EAP ESQ EIXAMP CASANOVA(CAPSE)
"
EP468,"EAP LES HORTES POBL SEC
"
EP469,"EAP POBLE SEC-MONTJUÏC
"
EP470,"EAP BORDETA
"
EP471,"EAP SANTS
"
EP473,"EAP NUMÁNCIA
"
EP474,"EAP LES CORTS (MONTNEGRE)
"
EP475,"EAP LES CORTS-PEDRALB (MNEGRE)
"
EP477,"EAP MARC AURELI
"
EP478,"EAP SANT ELIES
"
EP479,"EAP SARRIÁ
"
EP480,"EAP VALLVIDRIERA-LES PLANES
"
EP523,"EAP CAPII -ESPECIALITATS MANSO
"
EP528,"EAP CAPII -ESPEC. NUMÁNCIA
"
ERM,"EMERGÉNCIES
"
EST,"ESTOMATOLOGIA
"
FAR,"FARMÁCIA
"
FCL,"FARMACOLOGÍA CLÍNICA
"
FIR,"FECUNDACIÓ IN VITRO NO SCS
"
FIS,"FECUNDACIÓ IN VITRO SCS
"
GAS,"GASTROENTEROLOGIA
"
GER,P.D.
GIN,"GINECOLOGIA
"
H-ANE,N.D.
H-CAR,"CARDIOLOGIA
"
H-CCV,N.D.
H-CGI,N.D.
H-COR,N.D.
H-COT,N.D.
H-FIV,N.D.
H-GAS,"GASTROENTEROLOGIA
"
H-GIN,N.D.
H-HEM,N.D.
H-HEP,"HEPATOLOGIA
"
H-HMT,N.D.
H-HOS,"BCL HOSP. HCP
"
H-INF,N.D.
H-LBT,N.D.
H-LCS,N.D.
H-LUG,N.D.
H-MDI,N.D.
H-MNC,"MEDICINA NUCLEAR
"
H-NEF,"NEFROLOGIA
"
H-NMO,"PNEUMOLOGIA
"
H-NRL,"NEUROLOGIA
"
H-PAT,"ÁREA OP.HISTOPATOL.I PAT.CEL.
"
H-PPS,N.D.
H-RAD,"RADIOLOGIA
"
H-URO,"UROLOGIA
"
HBP,"CIR. HEPATIC BILIO-PANCREATICA
"
HDM,"Disp. Transv. Hospit. Domicili
"
HEM,"HEMATOLOGIA
"
HEP,"HEPATOLOGIA
"
HHCCE,"HHCC CD EXTERNS
"
HHCCP,"HHCC MIGRACIÓ PLATÓ
"
HMS,"HEMOTERÁPIA - HEMOSTÁSIA
"
HMT,"BANC DE SANG
"
HP2,"2ª planta Plató
"
HP3,"3ª planta Plató
"
HP4,"4ª planta Plató
"
HPAT,"SERVEI D ANATOMIA PATOLÓGICA
"
INF,"MALALTIES INFECCIOSES
"
INM,"IMMUNOLOGIA
"
LAB,"LABORATORI CENTRAL CLÍNIC
"
LBM,"LABORATORI CENTRAL MATER
"
LCE,"BIOQ.GEN.MOL
"
LLE,"UNITAT LLARGA ESTADA
"
LPS,"LESIONS PEPTIQUES SAGNANTS X
"
LURG,"LAB. D URGÉNCIES
"
M-CAR,"CARDIOLOGIA MATER REPLICA
"
M-CIG,"CIR. GRAL MATER REPLICA
"
M-GIN,"GINECOLOGIA MATER REPLICA
"
M-MDM,"MED. INTERNA MATER REPLICA
"
M-NNT,"NEONATOLOGIA MATER REPLICA
"
M-OBS,"OBSTETRÍCIA MATER REPLICA
"
M-PPS,"PSICOLOGIA MATER REPLICA
"
M-RAD,"RADIOLOGIA MATER REPLICA
"
MAS,"MAL. AUTOIMMUNES I SISTEM.
"
MCB,"MICROBIOLOGIA
"
MCBIM,"MICROBIOL, I IMMUNOL.
"
MDI,"MEDICINA INTERNA
"
MIH,"MEDICINA INTERNA HEMATOLOGIA
"
MIO,"MEDICINA INTERNA ONCOLOGIA
"
MNC,"MEDICINA NUCLEAR
"
MPR,"MEDICINA PREVENTIVA
"
MRG,MORGUE
NEF,"NEFROLOGIA
"
NMO,"PNEUMOLOGIA I AL·LERGOLOGIA
"
NNT,"NEONATOLOGIA
"
NRC,"NEUROCIRURGIA
"
NRL,"NEUROLOGIA
"
NTC,"CIRURGÍA NEONATAL
"
NUM,"URGÉNCIES NUMÁNCIA
"
OBS,"MEDICINA MATERNOFETAL
"
OFT,"OFTALMOLOGIA
"
ONC,"ONCOLOGIA MEDICA
"
ORL,"OTORRINOLARINGOLOGIA
"
ORO,"ORL ONCOLÓGIC
"
PAL,"UNITAT DE CURES PALIATIVES
"
PBP,"PATOLOGIA BILIO-PANCREATICA X
"
PIJ,"PSIQUIATRIA INFANTO-JUVENIL
"
PLT,"PLATÓ
"
PPCM,"PROG. PREVENCIÓ CÁNCER MAMA
"
PPS,"PSICOLOGIA CLÍNICA
"
PSI,"PSIQUIATRIA
"
QUIR,"ÁREA QUIRÃšRGICA
"
RADIO,"RADIOLOGIA
"
RDT,"ONCOLOGIA RADIOTERAPICA
"
REH,"REHABILITACIÓ
"
RMT,"REUMATOLOGIA
"
RNS,"RECIÃ‰N NACIDOS
"
SAI,"SERV. ASSIST. INF
"
SALAB,"SALUT LABORAL
"
SCO,"URGÉNCIES SAGRAT COR
"
SINT,"SALUT INTERNACIONAL
"
SLB,"Consulta Salut Laboral
"
TPF,"TUMORS PRIMARIS DE FETGE X
"
TRA,"TRAUMATOLOGIA
"
TRG,"TRIATGE URGÉNCIES-PLANTA 0
"
UCIR,"URGÉNCIES CIR
"
UCOT,"URGÉNCIES COT
"
UDT,"UNITAT DOLOR TORÁCIC
"
UFISS,"U. FUNC. INT. SOCIO. SANIT.
"
UGIN,"URGÉNCIES GIN
"
UOFT,"URGÉNCIES OFT
"
UORL,"URGÉNCIES ORL
"
UPSI,"URGÉNCIES PSI
"
URG,"URGÉNCIES URG
"
URM,"URGÉNCIES URM
"
URO,"UROLOGIA
"
UTH,"UNITAT DE TRANSPLANT. HEPÁTIC
"
UTOX,"URGÉNCIES TOX
"
UTR,"TRASPLANTAMENT RENAL
"
VCOT,"URG. EXTRAHOSP. CIRURGIA X
"
VMED,"URG. EXTRAHOSP. MEDICINA X
"
VSC,"VASCULAR
"
VURG,"URGENCIES EXTRAHOSPITALARIES
"
