diag_ref,catalog,code,diag_descr
6000063,1,916.1,Abrasion/quemadura cadera/muslo/pierna/tobillo infectada
6000064,1,916.0,Abrasion/quemadura cadera/muslo/pierna/tobillo sin infeccion
6000065,1,910.0,Abrasion/quemadura de cara/cuello/cuero cabell sin infeccion
6000066,1,913.1,Abrasion/quemadura de codo/antebrazo/muñeca infectada
6000067,1,913.0,Abrasion/quemadura de codo/antebrazo/muñeca sin infeccion
6000068,1,915.1,Abrasion/quemadura de dedo(s) mano infectada
6000069,1,915.0,Abrasion/quemadura de dedo(s) mano sin infeccion
6000070,1,912.1,Abrasion/quemadura de hombro/brazo superior infectada
6000071,1,912.0,Abrasion/quemadura de hombro/brazo superior sin infeccion
6000072,1,914.0,Abrasion/quemadura de mano sin infeccion
6000073,1,917.1,Abrasion/quemadura de pie/dedo(s) pie infectada
6000074,1,917,Abrasion/quemadura de pie/dedo(s) pie sin infeccion
6000075,1,006.3,Absceso amebiano del higado
6000076,12,A06.4,Absceso amebiano del higado
6000077,1,566,Absceso anal
6000078,12,K61.0,Absceso anal
6000079,12,K61.2,Absceso anorrectal
6000080,1,370.55,Absceso corneal
6000081,12,L02.211,Absceso cutáneo en pared abdominal
6000082,1,527.3,Absceso de glandula salival
6000083,12,K11.3,Absceso de glandula salival
6000084,1,616.3,Absceso de la glandula de bartholin
6000085,12,N75.1,Absceso de la glandula de bartholin
6000086,1,601.2,Absceso de la prostata
6000087,12,N41.2,Absceso de la prostata
6000088,12,D73.3,Absceso del bazo
6000089,1,572,Absceso del higado
6000090,12,K75.0,Absceso del higado
6000091,1,569.5,Absceso del intestino
6000092,12,K63.0,Absceso del intestino
6000093,1,513.1,Absceso del mediastino
6000094,12,J85.3,Absceso del mediastino
6000095,1,567.31,Absceso del musculo psoas 
6000096,1,373.13,Absceso del parpado
6000097,12,J85.1,Absceso del pulmon con neumonia
6000098,1,513,Absceso del pulmon sin neumonia
6000099,12,J85.2,Absceso del pulmon sin neumonia
6000100,1,254.1,Absceso del timo
6000101,1,324.9,"Absceso extradural y subdural, no especificado"
6000102,12,G06.2,"Absceso extradural y subdural, no especificado"
6000103,12,K61.4,Absceso intraesfinteriano
6000104,12,K61.3,Absceso isquiorrectal
6000105,1,675.14,Absceso mama embarazo/parto puerperiop complicacion de puerperio
6000106,1,675.11,"Absceso mama embarazo/parto puerperiop parida, c/s patol antepar/parto"
6000107,1,675.12,"Absceso mama embarazo/parto puerperiop parida, complicacion postparto"
6000108,1,675.13,Absceso mama en embarazo complicacion anteparto
6000109,1,475,Absceso periamigdalino
6000110,12,J36,Absceso periamigdalino
6000111,1,522.7,Absceso periapical con fistula
6000112,12,K04.6,Absceso periapical con fistula
6000113,1,522.5,Absceso periapical sin fistula
6000114,12,K04.7,Absceso periapical sin fistula
6000115,1,567.22,Absceso peritoneal 
6000116,12,K65.1,Absceso peritoneal 
6000117,12,K61.1,Absceso rectal
6000118,1,590.2,Absceso renal y perirrenal
6000119,12,N15.1,Absceso renal y perirrenal
6000120,1,478.22,Absceso parafaringeo
6000121,1,478.24,Absceso retrofaringeo
6000122,12,J39.0,Absceso retrofaringeo y parafaringeo
6000123,1,383.01,Absceso subperiostico de mastoides
6000124,1,013.34,Absceso tbc cerebral dgco.por cultivo
6000125,1,013.36,Absceso tbc cerebral dgco.por otros tests
6000126,1,013.32,Absceso tbc cerebral examen resultado desconocido
6000127,1,013.3,Absceso tbc cerebral neom
6000128,1,013.5,Absceso tbc medula espinal
6000129,1,013.56,Absceso tbc medula espinal dgco.otros tests
6000130,1,013.55,Absceso tbc medula espinal dgco.por histolog.
6000131,1,597,Absceso uretral
6000132,12,N34.0,Absceso uretral
6000133,1,360.04,Absceso vitreo
6000134,1,616.4,Absceso vulvar
6000135,12,N76.4,Absceso vulvar
6000136,1,324,Absceso y granuloma intracraneal
6000137,12,G06.0,Absceso y granuloma intracraneal
6000138,1,324.1,Absceso y granuloma intrarraquideo
6000139,12,G06.1,Absceso y granuloma intrarraquideo
6000140,12,B43.2,Absceso y quiste subcutaneo feomicotico
6000141,12,J34.0,"Absceso, furunculo y antrax de la nariz"
6000142,1,292.0,Abstinencia a droga 
6000143,1,291.81,Abstinencia de alcohol
6000144,1,305,Abuso de alcohol
6000145,1,305.01,Abuso de alcohol   continuo
6000146,1,305.03,Abuso de alcohol   en vias de remision
6000147,1,305.02,Abuso de alcohol   episodico
6000148,12,F10.129,"Abuso de alcohol con intoxicación, no especificada"
6000149,12,F10.120,"Abuso de alcohol, con intoxicación, sin complicaciones"
6000150,12,F10.11,"Abuso de alcohol, en remisión"
6000151,12,F10.10,"Abuso de alcohol, sin complicaciones"
6000152,1,305.3,Abuso de alucinogenos
6000153,1,305.31,Abuso de alucinogenos   continuo
6000154,1,305.33,Abuso de alucinogenos   en remision
6000155,1,305.32,Abuso de alucinogenos   episodico
6000156,1,305.71,Abuso de amfetaminas/simpaticomimeticos   continuo
6000157,1,305.73,Abuso de amfetaminas/simpaticomimeticos   en remision
6000158,1,305.72,Abuso de amfetaminas/simpaticomimeticos   episodico
6000159,1,305.7,Abuso de amfetaminas/simpaticomimeticos   neom
6000160,1,305.81,Abuso de antidepresivos   continuo
6000161,1,305.82,Abuso de antidepresivos   episodico
6000162,1,305.41,Abuso de barbituricos/sedantes y similares   continuo
6000163,1,305.43,Abuso de barbituricos/sedantes y similares   en remision
6000164,1,305.42,Abuso de barbituricos/sedantes y similares   episodico
6000165,1,305.2,Abuso de cannabis
6000166,1,305.21,Abuso de cannabis   continuo
6000167,1,305.23,Abuso de cannabis   en vias de remision
6000168,1,305.22,Abuso de cannabis   episodico
6000169,12,F12.10,"Abuso de cannabis, sin complicaciones"
6000170,1,305.61,Abuso de cocaina   continuo
6000171,1,305.63,Abuso de cocaina   en remision
6000172,1,305.62,Abuso de cocaina   episodico
6000173,1,305.6,Abuso de cocaina   neom
6000174,1,305.5,Abuso de opioides
6000175,1,305.51,Abuso de opioides   continuo
6000176,1,305.53,Abuso de opioides   en remision
6000177,1,305.52,Abuso de opioides   episodico
6000178,12,F19.10,"Abuso de otra sustancia psicoactiva, sin complicaciones"
6000179,1,305.4,"Abuso de sedantes, hipnoticos o ansioliticos "
6000180,1,V61.42,Abuso de sustancias en la familia
6000181,1,530,Acalasia del cardias
6000182,12,K22.0,Acalasia del cardias
6000183,1,701.2,Acantosis nigricans
6000184,12,L83,Acantosis nigricans
6000185,1,E914,Acc. cuerpo extraño penetra en ojo y anexos
6000186,1,E915,Acc. cuerpo extraño que penetra en otros orificio forma accidenta
6000187,1,E816.0,Acc. de v.m. por perdida control sin colision v.pub. l.condu
6000188,1,E921.8,Acc. explosion recipiente presion  otros no codificados
6000189,1,E900.1,Acc. por calor excesivo de origen artificial
6000190,1,E900.0,Acc. por calor excesivo debido a condiciones meteorologicas
6000191,1,E900.9,Acc. por calor excesivo no especificado
6000192,1,E901.8,Acc. por frio excesivo  especificado  otros no codificados
6000193,1,E901.0,Acc. por frio excesivo debido a condiciones meteorologicas
6000194,1,E901.9,Acc. por frio excesivo no especificado
6000195,1,E909.8,Acc. por otras erupciones y movimientos superficiales de tierra
6000196,1,E903,Acc. por viaje y movimiento
6000197,1,E816.9,Acc.de v.m. por perdida control sin colision v.p pers no esp
6000198,1,E816.3,Acc.de v.m. por perdida control sin colision v.pub. l.pas.mo
6000199,1,E816.2,Acc.de v.m. por perdida control sin colision v.publ. l.motor
6000200,1,E816.1,Acc.de v.m. por perdida control sin colision v.publ. l.pasaj
6000201,1,E922.4,Accidente   escopeta de aire
6000202,1,E928.8,Accidente  otros no codificados
6000203,1,E842.6,Accidente avion sin motor viajero de avion sin motor
6000204,1,E826,Accidente bicicleta
6000205,1,E826.1,Accidente bicicleta l.ciclista
6000206,1,E826.2,Accidente bicicleta l.jinete
6000207,1,E826.0,Accidente bicicleta l.peaton
6000208,1,E826.8,Accidente bicicleta l.persona especifica
6000209,1,E826.9,Accidente bicicleta l.persona no especificado
6000210,1,E828.2,Accidente cabalgadura l.jinete
6000211,1,E828.9,Accidente cabalgadura l.persona no especificado
6000212,1,E920.5,Accidente causado por aguja hipodermica
6000213,1,E924.2,Accidente causado por grifo de agua caliente (hirviendo)
6000214,1,E898.1,Accidente causado por otro fuego  otros no codificados
6000215,1,E899,Accidente causadoi por incendio no especificado
6000216,1,E910.1,Accidente con equipo buceo durante practica de deporte
6000217,1,E821.9,Accidente con v.motorizado campo traves l.persona no especif
6000218,1,E821.0,Accidente con vehiculo motorizado campo traves l.conductor
6000219,1,E821.2,Accidente con vehiculo motorizado campo traves l.motorista
6000220,1,E821.3,Accidente con vehiculo motorizado campo traves l.pasaj motor
6000221,1,E840.9,Accidente despegue y aterrizaje otra persona  otros no codif
6000222,1,E849.4,Accidente en areas recreativo
6000223,1,E849.6,Accidente en edificio publico
6000224,1,E849.0,Accidente en el hogar
6000225,1,E849.1,Accidente en granja
6000226,1,E849.7,Accidente en institucion residencia
6000227,1,E849.3,Accidente en locales relativo a industria
6000228,1,E849.8,Accidente en lugar  otros no codificados
6000229,1,E849.9,Accidente en lugar no especificado
6000230,1,E849.2,Accidente en mina/cantera
6000231,1,E919.8,Accidente maquinaria  otros no codificados
6000232,1,E919.9,Accidente maquinaria no especificada
6000233,1,E910.2,Accidente natacion no especificado
6000234,1,E845.9,Accidente nave espacial otra persona  otros no codificados
6000235,1,E890.9,Accidente no especif. como resultado de incen. dom. privado
6000236,1,E928.9,Accidente no especificado
6000237,1,E876.9,Accidente no especificado durante cuidado medico
6000238,1,E824.2,Accidente no trafico subida/descenso v.m. l.motorista
6000239,1,E824.1,Accidente no trafico subida/descenso v.m. l.pasajero
6000240,1,E824.3,Accidente no trafico subida/descenso v.m. l.pasajero moto
6000241,1,E824.8,Accidente no trafico subida/descenso v.m. l.persona especif.
6000242,1,E848,Accidente otros vehiculos  otros no codificados
6000243,1,E922.0,Accidente por arma corta pistola
6000244,1,E922.9,Accidente por arma fuego no especificado
6000245,1,E828,Accidente por cabalgadura
6000246,1,E925.8,Accidente por corriente electrica  otros no codificados
6000247,1,E925.9,Accidente por corriente electrica no especificado
6000248,1,E920.0,Accidente por cortacesped motorizado
6000249,1,E920.3,"Accidente por cuchillo,espada y daga"
6000250,1,E928.0,Accidente por estancia prolongada con falta de gravedad
6000251,1,E923.9,Accidente por explosivos no especificado
6000252,1,E928.1,Accidente por exposicion a ruidos
6000253,1,E926.5,Accidente por exposicion isotopos radioactivos
6000254,1,E926.2,Accidente por exposicion luz visible y ultravioleta
6000255,1,E926.8,Accidente por exposicion radiacion  otros no codificados
6000256,1,E926.9,Accidente por exposicion radiacion no especificado
6000257,1,E926.3,Accidente por exposicion rayos x y otras radiaciones ionizan
6000258,1,E895,Accidente por fuego controlado en domicilio privado
6000259,1,E923.2,Accidente por gases explosivos
6000260,1,E920.1,Accidente por herramienta electrica mano  otros no codificad
6000261,1,E925.0,Accidente por instalaciones electricas y disposit. domestico
6000262,1,E920.9,Accidente por instrumento cortante y punzante no especificad
6000263,1,E920.8,"Accidente por instrumento cortante,punz.  otros no codificad"
6000264,1,E924.0,Accidente por liquidos y vapores caliente
6000265,1,E919.0,Accidente por maquina de agricultura
6000266,1,E919.3,Accidente por maquina metalurgica
6000267,1,E836.2,Accidente por maquinaria del barco tripulacion
6000268,1,E925.2,Accidente por maquinaria industrial relativo a electricidad
6000269,1,E919.4,Accidente por maquinas de carpinteria
6000270,1,E919.6,Accidente por maquinas de transmision
6000271,1,E919.2,Accidente por maquinas elevadoras
6000272,1,E919.7,Accidente por maquinas excavadoras
6000273,1,E919.5,Accidente por maquinas motrices salvo motores electricos
6000274,1,E923.1,Accidente por materiales para voladura
6000275,1,E920.4,Accidente por otras herramientas de mano
6000276,1,E923.0,Accidente por pirotecnia
6000277,1,E922.2,Accidente por rifle caza
6000278,1,E883.0,Accidente por saltar o tirarse de cabeza al agua (piscina)
6000279,1,E924.8,Accidente por substancia caliente  otros no codificados
6000280,1,E924.9,Accidente por substancia caliente no especificado
6000281,1,E924.1,Accidente por substancias caustica/corrosiva
6000282,1,E920.2,Accidente por utensillo electrico domestico
6000283,1,E817.8,Accidente subir/descender vehiculo mot l.persona especificad
6000284,1,E817.9,Accidente subir/descender vehiculo motor l.persona no especi
6000285,1,E817.2,Accidente subir/descender vehiculo motorizado l.motorista
6000286,1,E817.1,Accidente subir/descender vehiculo motorizado l.pasajero
6000287,1,E817.3,Accidente subir/descender vehiculo motorizado l.pasajero mot
6000288,1,E817.7,Accidente subir/descender vehiculo motorizado l.peaton
6000289,1,E807.1,Accidente tren no especificado lesion de pasajero
6000290,1,E807.8,Accidente tren no especificado lesion de persona especificad
6000291,1,E846,Accidente v.m. empleado en local relativo a industria
6000292,1,E825.0,Accidente v.m. no traf otro tipo y no especif. l.conductor
6000293,1,E825.2,Accidente v.m. no traf otro tipo y no especif. l.motorista
6000294,1,E825.1,Accidente v.m. no traf otro tipo y no especif. l.pasajero
6000295,1,E825.7,Accidente v.m. no traf otro tipo y no especif. l.peaton
6000296,1,E825.9,Accidente v.m. no traf otro tipo y no especif. l.pers no esp
6000297,1,E825.8,Accidente v.m. no traf otro tipo y no especif. l.persona esp
6000298,1,E819.4,Accidente vehiculo motorizado no especif. l.cupante tranvia
6000299,1,E819.9,Accidente vehiculo motorizado no especif. l.pers no especifi
6000300,1,E819.8,Accidente vehiculo motorizado no especif. l.persona especifi
6000301,1,E819.6,Accidente vehiculo motorizado no especificado l.ciclista
6000302,1,E819.0,Accidente vehiculo motorizado no especificado l.conductor
6000303,1,E819.5,Accidente vehiculo motorizado no especificado l.jinete
6000304,1,E819.2,Accidente vehiculo motorizado no especificado l.motorista
6000305,1,E819.3,Accidente vehiculo motorizado no especificado l.pasajer moto
6000306,1,E819.1,Accidente vehiculo motorizado no especificado l.pasajero
6000307,1,E819.7,Accidente vehiculo motorizado no especificado l.peaton
6000308,1,E827.3,Accidente vehiculo traccion animal l.ocupante
6000309,1,791.6,Acetonuria
6000310,12,R82.4,Acetonuria
6000311,12,P19.1,Acidemia metabólica en el recién nacido detectada por primera vez durante el parto
6000312,1,787.1,Acidez
6000313,12,R12,Acidez
6000314,1,276.2,Acidosis
6000315,12,E87.2,Acidosis
6000316,1,775.7,Acidosis metabolica tardia del recien nacido
6000317,12,P74.0,Acidosis metabolica tardia del recien nacido
6000318,12,L70.4,Acne infantil
6000319,1,706,Acne varioliforme
6000320,12,L70.2,Acne varioliforme
6000321,12,L70.0,Acne vulgar
6000322,12,L70.9,"Acne, no especificado"
6000323,12,Q77.4,Acondroplasia
6000324,1,649.73,Acortamiento cervical con afeccion o complicacion anteparto
6000325,1,649.71,"Acortamiento cervical, parida con o sin mencion de estado anteparto"
6000326,12,O26.873,"Acortamiento del cuello uterino, tercer trimestre"
6000327,1,368.54,Acromatopsia
6000328,12,H53.51,Acromatopsia
6000329,1,253,Acromegalia y gigantismo hipofisario
6000330,12,E22.0,Acromegalia y gigantismo hipofisario
6000331,12,B47.1,Actinomicetoma
6000332,1,039.2,Actinomicosis abdominal
6000333,12,A42.1,Actinomicosis abdominal
6000334,1,039.3,Actinomicosis cervicofacial
6000335,12,A42.2,Actinomicosis cervicofacial
6000336,1,039.8,Actinomicosis de otros sitios especificados
6000337,1,039.1,Actinomicosis pulmonar
6000338,12,A42.0,Actinomicosis pulmonar
6000339,1,039.9,"Actinomicosis, sin otra especificacion"
6000340,12,A42.9,"Actinomicosis, sin otra especificacion"
6000341,1,E000.0,Actividad civil realizada a cambio de retribucion o pago
6000342,12,Y99.0,Actividad civil realizada a cambio de retribucion o pago
6000343,1,E000.2,Actividad de voluntariado
6000344,12,Y99.2,Actividad de voluntariado
6000345,1,E000.1,Actividad militar
6000346,12,Y99.1,Actividad militar
6000347,1,E030,Actividad sin especificar
6000348,12,F42.2,Actos e ideas obsesivas mixtos
6000349,1,V53.8,Adaptacion de silla de ruedas
6000350,1,474.01,Adenoiditis cronica
6000351,12,J35.02,Adenoiditis cronica
6000352,12,R59.1,Adenomegalia generalizada
6000353,12,R59.0,Adenomegalia localizada
6000354,1,785.6,"Adenomegalia, no especificada"
6000355,12,R59.9,"Adenomegalia, no especificada"
6000356,1,079,Adenovirus como causa de enfermedades clasificadas en otros capitulos
6000357,12,B97.0,Adenovirus como causa de enfermedades clasificadas en otros capitulos
6000358,1,379.27,Adherencia vitreomacular
6000359,12,H43.82,Adherencia vitreomacular
6000360,1,560.81,Adherencias [bridas] intestinales con obstruccion
6000361,12,K56.5,Adherencias [bridas] intestinales con obstruccion
6000362,1,364.7,Adherencias del iris no especificadas
6000363,1,568,Adherencias peritoneales
6000364,12,K66.0,Adherencias peritoneales
6000365,12,N99.4,Adherencias peritoneales pelvicas consecutivas a procedimientos
6000366,1,614.6,Adherencias peritoneales pelvicas femeninas
6000367,12,N73.6,Adherencias peritoneales pelvicas femeninas
6000368,1,524.61,Adherencias y anquilosis (oseas o fibrosas)
6000369,1,385.13,Adhesiones del timpano al promontorio
6000370,1,372.62,Adhesiones y filamentos conjuntivales localizados
6000371,1,278.1,Adiposidad localizada
6000372,12,E65,Adiposidad localizada
6000373,1,V58.31,Admision para cambio o retirada de vendaje de herida quirurgica 
6000374,1,V58.30,Admision para cambio o rtirada de vendaje de herida no quirurgica 
6000375,1,V26.81,Admision para ciclo de fertilidad de reproduccion asistida
6000376,1,V58.41,Admision para cierre programado de heridas postoperatorias
6000377,1,V72.12,Admision para conservacion y tratamiento de la audicion
6000378,12,Z01.12,Admision para conservacion y tratamiento de la audicion
6000379,1,V58.12,Admision para inmunoterapia antineoplasica 
6000380,12,Z51.12,Admision para inmunoterapia antineoplasica 
6000381,1,V58.83,Admision para monitorizacion de drogas terapeuticas
6000382,1,V56.32,Admision para prueba de adecuacion para dialisis peritoneal
6000383,1,V56.31,Admision para prueba de adecuacion para hemodialisis
6000384,1,V58.11,Admision para quimioterapia antineoplasica 
6000385,12,Z51.11,Admision para quimioterapia antineoplasica 
6000386,1,V58.1,Admision para quimioterapia e inmunoterapiua antineoplasica 
6000387,1,V58.32,Admision para retirada de puntos de sutura 
6000388,1,379.31,Afaquia
6000389,12,H27.0,Afaquia
6000390,1,743.35,Afaquia congenita
6000391,12,Q12.3,Afaquia congenita
6000392,1,438.11,Afasia
6000393,1,784.3,Afasia
6000394,12,R47.01,Afasia
6000395,12,I69.320,Afasia tras infarto cerebral
6000396,1,695.9,"Afeccion eritematosa, no especificada"
6000397,12,L53.9,"Afeccion eritematosa, no especificada"
6000398,1,287.9,"Afeccion hemorragica, no especificada"
6000399,12,D69.9,"Afeccion hemorragica, no especificada"
6000400,1,778.9,"Afeccion no especificada de la piel, propia del feto y del recien nacido"
6000401,12,P83.9,"Afeccion no especificada de la piel, propia del feto y del recien nacido"
6000402,1,779.9,Afeccion no especificada originada en el periodo perinatal
6000403,12,P96.9,Afeccion no especificada originada en el periodo perinatal
6000404,12,Y95,Afeccion nosocomial
6000405,1,770.9,Afeccion respiratoria no especificada del recien nacido
6000406,12,P28.9,Afeccion respiratoria no especificada del recien nacido
6000407,1,506.9,"Afeccion respiratoria no especificada, debida a inhalacion de gases, humos, vapores y sustancias quimicas"
6000408,12,J68.9,"Afeccion respiratoria no especificada, debida a inhalacion de gases, humos, vapores y sustancias quimicas"
6000409,1,625.9,Sintoma neom de organos genitales femeninos
6000410,1,629.9,Trastorno no especifico de los organos genitales femeninos
6000411,12,N94.9,Afecciones no especificadas asociadas a órganos genitales femeninos y al ciclo menstrual
6000412,1,506.4,"Afecciones respiratorias cronicas debidas a inhalacion de gases, humos, vapores y sustancias quimicas"
6000413,1,508.9,Afecciones respiratorias debidas a agentes externos no especificados
6000414,12,J70.9,Afecciones respiratorias debidas a agentes externos no especificados
6000415,1,508.8,Afecciones respiratorias debidas a otros agentes externos especificados
6000416,12,J70.8,Afecciones respiratorias debidas a otros agentes externos especificados
6000417,1,331.83,Afectacion cognitiva descrita como leve
6000418,12,G31.84,Afectacion cognitiva descrita como leve
6000419,1,524.82,Afectacion de tejido blando posterior 
6000420,1,996.41,Aflojamiento mecanico de protesis articular 
6000421,12,T84.033A,"Aflojamiento mecánico de prótesis interna de articulación de rodilla izquierda, contacto inicial"
6000422,1,784.41,Afonia
6000423,12,R49.1,Afonia
6000424,1,676.41,Agalactia
6000425,12,Q33.3,Agenesia del pulmon
6000426,12,Q60.1,"Agenesia renal, bilateral"
6000427,1,753,"Agenesia renal, sin otra especificacion"
6000428,12,Q60.2,"Agenesia renal, sin otra especificacion"
6000429,12,Q60.0,"Agenesia renal, unilateral"
6000430,1,752.31,Agenesia y aplasia del utero
6000431,12,Q51.0,Agenesia y aplasia del utero
6000432,1,751.7,"Agenesia, aplasia e hipoplasia del pancreas"
6000433,12,Q45.0,"Agenesia, aplasia e hipoplasia del pancreas"
6000434,1,784.69,Agnosia
6000435,12,R48.1,Agnosia
6000436,1,300.21,Agorafobia con trasstornos de panico 
6000437,1,300.22,"Agorafobia, sin mencion de ataques de panico"
6000438,1,992.3,"Agotamiento por calor, anhidrotico"
6000439,1,992.5,"Agotamiento por calor, sin especificar"
6000440,1,E963,Agresion por ahorcamiento y estrangulacion
6000441,1,E962.0,Agresion por enven. de farmacos y sustancias medicamentosas
6000442,12,Y09,Agresion por medios no especificados
6000443,1,E968.5,Agresion por vehiculo de transporte
6000444,1,531.01,Ulcera gastrica agudo con  hemorragia y obstruccion
6000445,1,532.01,Ulcera duodenal ag. con hemorragia con obstruccion
6000446,1,533,"Ulcera peptica, sitio no especificado"
6000447,1,533.01,Ulcera peptica ag con hemorragia y obstruccion
6000448,1,534,Ulcera gastroyeyunal
6000449,1,534.01,Ulcera gastroyeyunal ag con hemorragia con obstruccion
6000450,12,K25.0,Úlcera gástrica aguda con hemorragia
6000451,12,K26.0,Úlcera duodenal aguda con hemorragia
6000452,12,K27.0,"Úlcera péptica aguda, localización no especificada, con hemorragia"
6000453,12,K28.0,Úlcera gastroyeyunal aguda con hemorragia
6000454,1,531.2,Ulcera gastrica aguda con hemorragia y perforacion
6000455,1,532.2,Ulcera duodenal ag con hemorragia y perforacion
6000456,1,534.2,Ulcera gastroyeyunal ag con hemorragia y perforacion
6000457,12,K25.2,Úlcera gástrica aguda con hemorragia y perforación
6000458,1,531.1,Ulcera gastrica aguda con perforacion
6000459,1,531.11,Ulcera gastrica aguda con  perforacion y obstruccion
6000460,1,532.1,Ulcera duodenal ag. con perforacion
6000461,1,533.1,Ulcera peptica aguda con perforacion
6000462,1,533.11,Ulcera peptica ag con perforacion y obstruccion
6000463,1,534.1,Ulcera gastroyeyunal ag con perforacion
6000464,12,K25.1,Úlcera gástrica aguda con perforación
6000465,12,K26.1,Úlcera duodenal aguda con perforación
6000466,1,531.3,"Ulcera gastrica aguda sin hemorragia, perforacion"
6000467,1,531.31,"Ulcera gastrica aguda sin hemorragia, perforacion con obstruccion"
6000468,1,532.3,Ulcera duodenal ag sin mencion de hemorragia ni perforacion
6000469,1,532.31,Ulcera duodenal ag sin mencion de hem. perf. con obstruccion
6000470,1,533.3,Ulcera peptica aguda sin hemorragia ni perforacion
6000471,1,534.3,Ulcera gastroyeyunal ag sin mencion de hemorragi y perforac.
6000472,12,K25.3,Úlcera gástrica aguda sin hemorragia ni perforación
6000473,12,K26.3,Úlcera duodenal aguda sin hemorragia ni perforación
6000474,12,K28.3,Úlcera gastroyeyunal aguda sin hemorragia y perforación
6000475,1,361.31,Agujero redondo en retina sin desprendimiento
6000476,1,E910.8,Ahogamiento accidental  otros no codificados
6000477,1,E910.9,Ahogamiento accidental no especificado
6000478,1,E984,Ahogamiento sin determianr la forma
6000479,1,994.1,Ahogamiento y sumersion no fatal
6000480,1,E913.8,Ahogo por otros medios especificados  otros no codificados
6000481,1,E983.0,Ahorcamiento sin determinar la forma
6000482,1,136,Ainhum
6000483,12,L94.6,Ainhum
6000484,1,E004.4,Ala delta
6000485,1,276.3,Alcalosis:
6000486,12,E87.3,Alcalosis:
6000487,1,V61.41,Alcoholismo en la familia
6000488,12,Z91.013,Alergia a alimentos marinos
6000489,12,Z91.011,Alergia a los productos lácteos
6000490,12,Z91.018,Alergia a otros alimentos
6000491,1,525.66,Alergia al material de restauracion dental existente 
6000492,12,K08.55,Alergia al material de restauracion dental existente 
6000493,1,995.3,"Alergia, sin especificar"
6000494,1,427.32,Aleteo auricular
6000495,1,282.43,Alfa talasemia
